policy,elapsed_ms,mops_s,anon_n0_gib,anon_n1_gib,promote_gib,hint_faults,blocked,usage_gib
off,0,0.0,0.0147247314453125,62.57737350463867,0.0,0,0,0.014862060546875
off,1000,119.209984,0.0147247314453125,62.57737350463867,0.0,0,0,0.014862060546875
off,2000,119.668736,0.4578132629394531,62.57737350463867,0.0,0,0,0.45790863037109375
off,3000,119.27552,0.8935012817382812,62.57737350463867,0.0,0,0,0.8935356140136719
off,4000,119.537664,1.3300094604492188,62.57737350463867,0.0,0,0,1.3300437927246094
off,5000,119.341056,1.42303466796875,62.57737350463867,0.0,0,0,1.4230499267578125
off,6000,119.209984,1.42303466796875,62.57737350463867,0.0,0,0,1.4230499267578125
off,7000,119.6032,1.42303466796875,62.57737350463867,0.0,0,0,1.4230499267578125
off,8000,119.341056,1.42303466796875,62.57737350463867,0.0,0,0,1.4230499267578125
off,9000,119.27552,1.42303466796875,62.57737350463867,0.0,0,0,1.4230499267578125
off,10000,119.27552,1.42303466796875,62.57737350463867,0.0,0,0,1.4230499267578125
off,11000,119.472128,1.42303466796875,62.57737350463867,0.0,0,0,1.4230499267578125
off,12001,119.6032,1.42303466796875,62.57737350463867,0.0,0,0,1.4230499267578125
off,13000,119.209984,1.42303466796875,62.57737350463867,0.0,0,0,1.4230499267578125
off,14000,119.406592,1.42303466796875,62.57737350463867,0.0,0,0,1.4230499267578125
off,15000,119.537664,1.42303466796875,62.57737350463867,0.0,0,0,1.4230499267578125
off,16000,119.144448,1.42303466796875,62.57737350463867,0.0,0,0,1.4230499267578125
off,17000,119.537664,1.42303466796875,62.57737350463867,0.0,0,0,1.4230499267578125
off,18000,119.406592,1.42303466796875,62.57737350463867,0.0,0,0,1.4230499267578125
off,19001,119.6032,1.42303466796875,62.57737350463867,0.0,0,0,1.4230499267578125
off,20000,119.341056,1.42303466796875,62.57737350463867,0.0,0,0,1.4230499267578125
off,21000,119.27552,1.4230384826660156,62.57737350463867,0.0,0,0,1.4230537414550781
off,22000,119.472128,1.4230384826660156,62.57737350463867,0.0,0,0,1.4230537414550781
off,23000,119.27552,1.4230384826660156,62.57737350463867,0.0,0,0,1.4230537414550781
off,24000,119.537664,1.4230384826660156,62.57737350463867,0.0,0,0,1.4230537414550781
off,25000,119.406592,1.4230384826660156,62.57737350463867,0.0,0,0,1.4230537414550781
off,26001,119.734272,1.4230384826660156,62.57737350463867,0.0,0,0,1.4230537414550781
off,27000,119.209984,1.4230384826660156,62.57737350463867,0.0,0,0,1.4230537414550781
off,28000,119.341056,1.4230384826660156,62.57737350463867,0.0,0,0,1.4230537414550781
off,29000,119.668736,1.4230384826660156,62.57737350463867,0.0,0,0,1.4230537414550781
off,30000,119.209984,1.4230384826660156,62.57737350463867,0.0,0,0,1.4230537414550781
off,31000,119.406592,1.4230384826660156,62.57737350463867,0.0,0,0,1.4230537414550781
off,32000,119.341056,1.4230384826660156,62.57737350463867,0.0,0,0,1.4230537414550781
off,33000,119.472128,1.4230384826660156,62.57737350463867,0.0,0,0,1.4230537414550781
off,34000,119.341056,1.4230384826660156,62.57737350463867,0.0,0,0,1.4230537414550781
off,35000,119.6032,1.4230384826660156,62.57737350463867,0.0,0,0,1.4230537414550781
off,36000,119.078912,1.4230384826660156,62.57737350463867,0.0,0,0,1.4230537414550781
off,37000,119.6032,1.4230384826660156,62.57737350463867,0.0,0,0,1.4230537414550781
off,38000,119.472128,1.4230384826660156,62.57737350463867,0.0,0,0,1.4230537414550781
off,39000,119.472128,1.4230384826660156,62.57737350463867,0.0,0,0,1.4230537414550781
