window,mean_mops,mean_mb_s,samples
0-20s,404.99937280000006,3239.9949824000005,20
20-40s,238.05296640000006,1904.4237312000005,20
20-200s,231.72655786666635,1853.8124629333308,180
40-200s,230.93575679999972,1847.4860543999978,160
0-200s,249.0538393599996,1992.430714879997,200
