window,start_elapsed_ms,end_elapsed_ms,hint_faults,pte_updates_pages,pte_updates_gib,promote_pages,promote_gib,demote_pages,demote_gib
phase1_live,52,196205,8840030,20649163,78.77030563354492,4064156,15.503524780273438,3916229,14.939228057861328
phase2_live,201228,397247,5873927,6087127,23.22054672241211,1199285,4.574909210205078,1348566,5.144371032714844
phase2_on_window,201228,221327,5873927,6087127,23.22054672241211,1199285,4.574909210205078,1039297,3.9646034240722656
phase2_after_off,221327,397247,0,0,0.0,0,0.0,309269,1.1797676086425781
