policy,phase,phase_name,mean_mops,mean_mb_s,median_mops,median_mb_s,samples
off,1,move60s-hotset-4g-remote,228.47520768,14622.41329152,228.327424,14612.955136,200
off,2,stream-read-32g-split16-4k,562.6920960000002,4501.536768000002,563.347456,4506.779648,200
on,1,move60s-hotset-4g-remote,1431.8144716799998,91636.12618751999,1799.028736,115137.839104,200
on,2,stream-read-32g-split16-4k,344.78882816,2758.31062528,348.91366400000004,2791.3093120000003,200
Miracle,1,move60s-hotset-4g-remote,1415.7597900800006,90608.62656512004,1795.653632,114921.832448,200
Miracle,2,stream-read-32g-split16-4k,267.3528012799994,2138.8224102399954,267.124736,2136.997888,200
Delay20,1,move60s-hotset-4g-remote,1476.1276211200002,94472.16775168001,1797.947392,115068.633088,200
Delay20,2,stream-read-32g-split16-4k,249.0538393599996,1992.430714879997,230.948864,1847.590912,200
