policy,start_s,end_s,mib_s,median_mib_s
on,0,30,204.6,0.0
on,30,60,787.5,0.0
on,60,90,498.3,0.0
on,90,120,264.3,0.0
on,120,150,353.0,0.0
on,150,180,264.5,0.0
on,180,210,635.8,0.0
on,210,240,882.8,0.0
on,240,270,140.8,0.0
on,270,300,1156.1,0.0
