policy,start_s,end_s,promote,demote,hint_faults,pte_updates,anon_n0_gib,anon_n1_gib
off,0,30,0,0,0,0,14.60,17.40
off,30,60,0,0,0,0,14.60,17.40
off,60,90,0,0,0,0,14.60,17.40
off,90,120,0,0,0,0,14.60,17.40
off,120,150,0,0,0,0,14.60,17.40
off,150,180,0,0,0,0,14.60,17.40
off,180,210,0,0,0,0,14.60,17.40
off,210,240,0,0,0,0,14.60,17.40
off,240,270,0,0,0,0,14.60,17.40
off,270,300,0,0,0,0,14.60,17.40
