workload,case,policy,local_cap_gib,window_sec,read_s,avg_trial_s,elapsed_s,trial_count,speedup_vs_on,slowdown_vs_off,off_elapsed_ms,off_window,off_reason,off_local_access_pct,off_remote_ratio_pct,trials
pr,off,off,16,5,27.2649,19.035,182.0,8,1.7650002626740218,1.0,,,,,,19.66466;18.96378;18.94387;19.03441;18.90277;18.87947;18.95047;18.94059
pr,on,on,16,5,23.89406,33.59678,296.0,8,1.0,1.7650002626740218,,,,,,43.86730;37.07844;20.45221;20.76415;19.79236;19.98459;73.81926;33.01595
pr,ours-w5,ours,16,5,23.92865,19.99597,186.0,8,1.6801775557774894,1.0504843708957183,35016,7,local_access,100.00,74.38,24.45324;19.67128;19.28374;19.33668;19.31667;19.31455;19.29243;19.29912
bc,off,off,16,5,23.65247,19.83175,184.0,8,1.911526718519546,1.0,,,,,,46.97873;28.81154;18.10683;13.00428;12.97761;13.34551;11.43428;13.99521
bc,on,on,16,5,23.75081,37.90892,333.0,8,1.0,1.911526718519546,,,,,,50.67462;37.57264;33.56573;35.08438;32.78694;41.25769;34.32383;38.00552
bc,ours-w5,ours,16,5,24.23526,15.15155,149.0,8,2.5019829654391796,0.7640046894499981,45017,9,local_access,84.44,0.00,23.97237;23.99014;10.55333;12.70180;12.55268;12.95341;10.82488;13.66382
