policy,kind,n,mean_mops_s,mean_MB_s,promote_gib_sum,hint_faults_m_sum,local_hint_faults_m_sum,sampled_refault_m_sum,refault_avg_us_weighted,blocked_m_sum
off,friendly,3,403.08306343882293,25797.316060084668,0.0,0.0,0.0,0.0,0.0,0.0
off,unfriendly,3,32.70101765460598,261.6081412368478,0.0,0.0,0.0,0.0,0.0,0.0
on,friendly,3,2863.2169635242794,183245.88566555388,4.018241882324219,5.599157999999999,0.10533899999999999,0.10533899999999999,3.2656471012635397,0.533023
on,unfriendly,3,50.23316095372715,401.8652876298172,4.494953155517578,29.693863999999998,0.11779,0.11779,2.64878173019781,0.131548
adaptive_cgroup,friendly,3,3647.3953789206143,233433.30425091932,4.079639434814453,1.176419,0.106988,0.106978,3.066050963749556,0.0
adaptive_cgroup,unfriendly,3,42.746903157641746,341.97522526113397,0.0,0.0,0.0,0.0,0.0,0.0
