policy,label,returncode,overall_mean_mops,overall_median_mops,friendly_mean_mops,friendly_median_mops,unfriendly_mean_mib_s,unfriendly_median_mib_s,promote_pages,promote_gib,demote_pages,demote_gib,hint_faults,pte_updates_pages,pte_updates_gib,node0_anon_gib,node1_anon_gib
off,off,0,833.2958627172083,563.6096,1087.2484143547022,228.851712,4508.525723691115,4511.290938938939,0,0.0,0,0.0,0,0,0.0,14.602523803710938,49.397701263427734
on,on,0,740.735045671635,439.16649110889114,1124.3857157620505,1363.738624,3013.767745991559,2894.06976,14432424,55.055328369140625,14229285,54.28041458129883,66074129,73019603,278.54767990112305,14.602531433105469,49.397701263427734
oracle_cgroup_global0,Miracle,0,673.8592065580225,437.12512,968.7368320901743,914.6887672327673,3155.0960264646933,3444.273614385615,6300252,24.033554077148438,6205631,23.672603607177734,24402262,35609317,135.83876419067383,14.602535247802734,49.39769744873047
