bucket_start_s,bucket_end_s,phase,phase_name,mean_mops_s,mean_mb_s,local_fault_sampled,local_fault_pte_updates,local_fault_refault,local_fault_refault_hit_1000ms,local_fault_hit_ratio_pct,local_fault_refault_avg_us,local_fault_lost,hint_faults,pte_updates,promote_pages,demote_pages
0,5,1,Friendly,231.44827616504708,14812.689674563013,309089,309089,9,9,100.0,2666.6666666666665,0,11,548341,1,0
5,10,1,Friendly,350.7946671768752,22450.85869932001,73720,73720,0,0,0.0,0.0,31540,1766451,2547832,661437,315282
10,15,1,Friendly,417.43173866637545,26715.63127464803,0,0,0,0,0.0,0.0,31050,402649,3145728,58016,310590
15,20,1,Friendly,387.30475566540855,24787.504362586147,0,0,0,0,0.0,0.0,6720,0,3211264,0,67136
20,25,1,Friendly,387.07214426126427,24772.617232720913,0,0,0,0,0.0,0.0,0,0,3211264,0,0
25,30,1,Friendly,387.08123793974846,24773.1992281439,113600,113600,0,0,0.0,0.0,0,5,1149307,5,0
30,35,1,Friendly,396.0777915215035,25348.978657376225,200950,200950,28872,28872,100.0,157714.463840399,0,180216,678426,137583,0
35,40,1,Friendly,1266.3400073668233,81045.7604714767,39420,39420,37059,28665,77.34963166842063,517026.57923851156,118720,1265428,1263790,816444,624705
40,45,1,Friendly,1915.4939513876088,122591.61288880697,130,130,6019,4892,81.2759594617046,634974.5804950988,64410,107465,108893,80606,339136
45,50,1,Friendly,1988.6085023994783,127270.94415356661,88520,88520,0,0,0.0,0.0,0,0,371862,0,0
50,55,1,Friendly,1989.2251488310794,127310.40952518908,87340,87340,0,0,0.0,0.0,0,0,647534,0,0
55,60,1,Friendly,1977.4041756003996,126553.86723842558,142980,142980,699399,123589,17.670743023653166,27769179.486959517,12560,5148747,471297,299085,81683
60,65,2,Unfriendly,689.9812124444444,23349.806876444443,32430,32430,51821,51821,100.0,170041.41178286794,0,2176053,2156681,338469,347032
65,70,2,Unfriendly,551.0202060188867,4408.161648151094,35280,35280,8310,8310,100.0,353714.56077015644,0,1186805,1384317,325445,265202
70,75,2,Unfriendly,507.91993666720066,4063.3594933376053,104780,104780,131750,70560,53.55597722960152,665832.5616698292,0,1251534,1416269,301216,313488
75,80,2,Unfriendly,442.7047985177649,3541.6383881421193,209510,209510,209510,209510,100.0,51221.53596487041,0,824447,342630,61645,92807
80,85,2,Unfriendly,379.80023292504575,3038.401863400366,29660,29660,25290,25290,100.0,15751.364175563464,0,1232709,1764740,173489,148021
85,90,2,Unfriendly,436.18059998906085,3489.444799912487,17550,17550,16120,12010,74.50372208436724,626949.6277915633,0,703007,300833,96540,78575
90,95,2,Unfriendly,374.5630463838464,2996.5043710707714,44210,44210,42720,36919,86.42088014981273,392495.4119850187,0,882145,781733,151636,151636
95,100,2,Unfriendly,424.4985698146146,3395.988558516917,95200,95200,78637,41701,53.02974426796546,776903.1372000457,2364,487409,600750,85654,88533
100,105,2,Unfriendly,469.39504640000007,3755.1603712000006,51520,51520,66799,47072,70.4681207802512,502479.4981960808,6210,1044550,1027895,158153,167310
105,110,2,Unfriendly,400.16264463629585,3201.301157090367,144180,144180,138770,138770,100.0,66476.55833393385,0,322852,144180,0,33446
110,115,2,Unfriendly,369.8413450907531,2958.730760726025,50840,50840,55690,50706,91.05045789190159,248443.95762255343,0,641790,1049794,133582,90256
115,120,2,Unfriendly,418.9272520473032,3351.418016378426,10910,10910,11241,8450,75.17124810959879,423024.2860955431,229,1259389,821373,114446,228232
