bucket_start_s,bucket_end_s,phase,phase_name,mean_mops_s,mean_mb_s,local_fault_hit_2000ms,local_fault_pte_updates,local_memory_util_pct,local_fault_refault,local_fault_sampled,local_fault_lost,hint_faults,pte_updates_total,promote_pages,demote_pages,local_fault_on_tiering_delta,sample_start_ms,sample_end_ms
0,5,1,Friendly,231.538688,14132.0,8,308672,0.0025917478747667427,8,308672,0,9,547921,1,0,0,53,5270
5,10,1,Friendly,350.9059584,21417.6,68283,142406,47.94952459868264,68283,142406,32505,1815810,2609675,682889,324940,0,5270,10523
10,15,1,Friendly,422.2091264,25769.6,4152,4152,100.0,4152,4152,31292,353777,3145728,41596,313024,0,10523,15683
15,20,1,Friendly,390.71252480000004,23847.2,0,0,0.0,0,0,5587,0,3211264,0,55936,0,15683,20839
20,25,1,Friendly,389.9260928,23799.2,0,0,0.0,0,0,0,0,3211264,0,0,0,20839,25986
25,30,1,Friendly,389.3362688,23763.2,18058,18058,100.0,18058,18058,0,53174,1349773,35116,0,0,25986,30108
30,35,1,Friendly,1062.1523439312136,64828.63427314537,118143,125131,94.41545260566926,118143,125131,46188,1106924,1258015,756432,461756,0,30108,35301
35,40,1,Friendly,1877.9295571114224,114619.72394478896,40698,33710,120.72975378226046,40698,33710,50030,389473,137438,253104,500480,-10,35301,40417
40,45,1,Friendly,1996.2789888,121843.2,0,0,0.0,0,0,0,0,0,0,0,0,40417,45524
45,50,1,Friendly,2003.0291968,122255.2,0,0,0.0,0,0,0,0,0,0,0,0,45524,50633
50,55,1,Friendly,2002.518016,122224.0,0,0,0.0,0,0,0,0,0,0,0,0,50633,55741
55,60,1,Friendly,2002.7670527999999,122239.2,0,0,0.0,217185,0,0,217185,0,0,0,0,55741,60854
60,65,2,Unfriendly,531.0224070371851,4069.5721711315477,0,0,0.0,0,0,0,0,0,0,0,0,60854,65986
65,70,2,Unfriendly,539.0204927999999,4112.4,0,0,0.0,0,0,0,0,0,0,0,0,65986,70082
70,75,2,Unfriendly,537.919488,4104.0,0,0,0.0,0,0,0,0,0,0,0,0,70082,75191
75,80,2,Unfriendly,538.7583487999999,4110.4,0,0,0.0,0,0,0,0,0,0,0,0,75191,80297
80,85,2,Unfriendly,538.9156352,4111.6,0,0,0.0,0,0,0,0,0,0,0,0,80297,85414
85,90,2,Unfriendly,538.4962048,4108.4,0,0,0.0,0,0,0,0,0,0,0,0,85414,90527
90,95,2,Unfriendly,538.8632064,4111.2,0,0,0.0,0,0,0,0,0,0,0,0,90527,95648
95,100,2,Unfriendly,539.3350656,4114.8,0,0,0.0,0,0,0,0,0,0,0,0,95648,100751
100,105,2,Unfriendly,538.5486336,4108.8,0,0,0.0,0,0,0,0,0,0,0,0,100751,105869
105,110,2,Unfriendly,538.388527094581,4107.578484303139,0,0,0.0,0,0,0,0,0,0,0,0,105869,110974
110,115,2,Unfriendly,539.6527113422685,4117.223444688938,0,0,0.0,0,0,0,0,0,0,0,0,110974,115073
115,120,2,Unfriendly,540.6457856000001,4124.8,0,0,0.0,0,0,0,0,0,0,0,0,115073,120182
