policy,phase,name,mean_mops,median_mops,mean_mb_s,median_mb_s,samples,window_offsets
off,1,fixed8g-hotset-remote,227.21112746666643,226.623488,14541.512157866651,14503.903232,60,17179869184
off,2,stream-read-32g-split16-4k,563.9241728000001,566.493184,4511.3933824000005,4531.945472,60,0
on,1,fixed8g-hotset-remote,1151.2796501333332,1562.771456,73681.89760853333,100017.373184,60,17179869184
on,2,stream-read-32g-split16-4k,465.1657898666666,455.737344,3721.326318933333,3645.898752,60,0
adaptive_cgroup,1,fixed8g-hotset-remote,1177.9309568,1596.6208000000001,75387.5812352,102183.73120000001,60,17179869184
adaptive_cgroup,2,stream-read-32g-split16-4k,555.1161344,553.910272,4440.9290752,4431.282176,60,0
