bucket_start_s,bucket_end_s,phase,phase_name,mean_mops_s,mean_mb_s,local_fault_hit_2000ms,local_fault_pte_updates,local_memory_util_pct,local_fault_refault,refault_over_pte_pct,hit_over_refault_pct,local_fault_sampled,local_fault_lost,hint_faults,pte_updates_total,promote_pages,demote_pages,sample_start_ms,sample_end_ms
0,5,1,Friendly,231.5255808,14131.2,4,309306,0.0012932177196691948,4,0.0012932177196691948,100.0,309306,0,5,548547,1,0,63,5294
5,10,1,Friendly,347.1927182563487,21190.961807638472,66929,140439,47.65698986748695,66929,47.65698986748695,100.0,140439,30939,1833872,2549670,669327,309076,5294,10530
10,15,1,Friendly,411.04535787157437,25088.217643528707,3847,3847,100.0,3847,100.0,100.0,3847,30236,334056,3211264,38425,302400,10530,15693
15,20,1,Friendly,391.380992,23888.0,0,0,0.0,0,0.0,0.0,0,8045,0,3276800,0,80512,15693,20868
20,25,1,Friendly,388.038656,23684.0,0,0,0.0,0,0.0,0.0,0,0,0,2555904,0,0,20868,25003
25,30,1,Friendly,386.400256,23584.0,24593,24727,99.4580822582602,24593,99.4580822582602,100.0,24727,0,80915,1961753,56324,0,25003,30171
30,35,1,Friendly,1121.7403904,68465.6,114486,120927,94.67364608400109,114486,94.67364608400109,100.0,120927,49268,1133185,1254183,782214,492666,30171,35359
35,40,1,Friendly,1900.0590335999998,115970.4,38227,31652,120.77277897131303,38227,120.77277897131303,100.0,31652,47076,352611,126137,226767,470912,35359,40470
40,45,1,Friendly,2001.3776896,122154.4,12891,12891,100.0,12891,100.0,100.0,12891,0,12891,976413,0,0,40470,45601
45,50,1,Friendly,1938.4762368,118315.2,144194,144194,100.0,144194,100.0,100.0,144194,16181,422397,394581,278203,161729,45601,50728
50,55,1,Friendly,1760.9916415999999,107482.4,52637,52637,100.0,52637,100.0,100.0,52637,26919,98588,93978,45951,269248,50728,55851
55,60,1,Friendly,1783.3366446710656,108846.23075384922,6653,6653,100.0,180801,2717.586051405381,3.6797362846444432,6653,0,4366234,463506,66425,0,55851,60976
60,65,2,Unfriendly,523.1743334666133,4010.395841663335,203252,205088,99.10477453580901,203252,99.10477453580901,100.0,205088,602,1350197,1019998,344778,132564,60976,65064
65,70,2,Unfriendly,513.642824564913,3918.7837567513507,236484,235250,100.52454835281615,236484,100.52454835281615,100.0,235250,0,1415105,1389370,253647,341409,65064,70197
70,75,2,Unfriendly,553.1762688,4220.4,47767,47769,99.9958131842827,47767,99.9958131842827,100.0,47769,0,2126891,1986782,426708,354287,70197,75433
75,80,2,Unfriendly,464.781312,3546.0,92018,126954,72.48137120531847,92018,72.48137120531847,100.0,126954,3,1336770,1654395,256441,164143,75433,80712
80,85,2,Unfriendly,455.1482407518496,3472.5054989002197,151640,120243,126.11129130178057,151922,126.34581638847999,99.81437843103699,120243,3256,1413414,1207795,153193,153193,80712,85903
85,90,2,Unfriendly,371.2177187437488,2832.1664332866576,163844,163844,100.0,163844,100.0,100.0,163844,0,316748,163844,0,54163,85903,90004
90,95,2,Unfriendly,460.82210955617757,3515.7936825269894,53269,53270,99.99812277079032,53269,99.99812277079032,100.0,53270,1,1180198,1607280,204751,150588,90004,95312
95,100,2,Unfriendly,390.5410612244898,2979.591836734694,27565,29551,93.27941524821495,27565,93.27941524821495,100.0,29551,0,639307,378723,122269,122269,95312,100482
100,105,2,Unfriendly,455.55384319999996,3475.6,58520,86624,67.5563354266716,64787,74.79105097894347,90.32676308518684,86624,2,1050514,1037777,127522,129314,100482,105682
105,110,2,Unfriendly,448.80562447510493,3424.1151769646067,80806,72648,111.22949014425724,95050,130.83636163418126,85.01420305102577,72648,1272,872731,1136835,96121,94328,105682,110911
110,115,2,Unfriendly,407.5581452290458,3109.4218843768754,111682,114060,97.91513238646327,111682,97.91513238646327,100.0,114060,0,858145,384875,38032,66234,110911,115066
115,120,2,Unfriendly,337.379328,2574.0,132906,133994,99.18802334432885,132906,99.18802334432885,100.0,133994,0,220742,470528,41021,12784,115066,120167
