policy,source,friendly_mops,unfriendly_mbps,promoted_gib,demoted_gib,hint_faults,pte_updates,off_time_s
full_off,20260509 #163,227.21112746666643,4511.3933824000005,0,0,0,0,start
full_on,20260510 #172,1083.4927500663462,3563.00615103429,16.536678314208984,16.6519775390625,21743669,29912483,never
adaptive_localutil80x3,20260510 #172,1093.2617215999999,4108.396386787107,6.748725891113281,6.317657470703125,3936352,15471078,40.3
adaptive_phase_oracle,20260509 #163,1177.9309568,4440.9290752,8.000022888183594,7.941654205322266,4085109,16378322,60.0
