cap,policy,avg_trial_s,stop_s
8G,off,16.39678,
8G,on,52.61184,
8G,ours 5s,41.69187,70.027
8G,ours 10s,36.72230,90.013
8G,ours 20s,41.60252,140.009
16G,off,49.38733,
16G,on,19.98134,
16G,ours 5s,14.17649,45.020
16G,ours 10s,23.23782,90.012
16G,ours 20s,25.90131,100.006
