case,label,policy,period_ms,fast_scan,time_s,mops_s
off,off baseline,off,off,off,124.0,564.133888
off,off baseline,off,off,off,125.0,564.133888
off,off baseline,off,off,off,126.0,563.871744
off,off baseline,off,off,off,127.0,560.98816
off,off baseline,off,off,off,128.0,565.182464
off,off baseline,off,off,off,129.0,565.968896
off,off baseline,off,off,off,130.0,567.279616
off,off baseline,off,off,off,131.0,564.133888
off,off baseline,off,off,off,132.0,565.182464
off,off baseline,off,off,off,133.0,565.444608
off,off baseline,off,off,off,134.0,565.968896
off,off baseline,off,off,off,135.0,565.444608
off,off baseline,off,off,off,136.0,562.036736
off,off baseline,off,off,off,137.0,565.968896
off,off baseline,off,off,off,138.0,565.444608
off,off baseline,off,off,off,139.0,565.182464
off,off baseline,off,off,off,140.0,565.182464
off,off baseline,off,off,off,141.0,565.706752
off,off baseline,off,off,off,142.0,563.085312
off,off baseline,off,off,off,143.0,565.182464
off,off baseline,off,off,off,144.0,565.706752
off,off baseline,off,off,off,145.0,563.871744
off,off baseline,off,off,off,146.0,564.92032
off,off baseline,off,off,off,147.0,564.92032
off,off baseline,off,off,off,148.0,564.92032
off,off baseline,off,off,off,149.0,564.658176
off,off baseline,off,off,off,150.0,564.658176
off,off baseline,off,off,off,151.001,562.2609070929072
off,off baseline,off,off,off,152.0,563.9113673673673
off,off baseline,off,off,off,153.0,565.182464
off,off baseline,off,off,off,154.0,563.6096
off,off baseline,off,off,off,155.0,564.133888
off,off baseline,off,off,off,156.0,564.133888
off,off baseline,off,off,off,157.0,564.92032
off,off baseline,off,off,off,158.0,565.182464
off,off baseline,off,off,off,159.0,565.182464
off,off baseline,off,off,off,160.0,563.6096
off,off baseline,off,off,off,161.0,565.182464
off,off baseline,off,off,off,162.0,562.823168
off,off baseline,off,off,off,163.0,563.347456
off,off baseline,off,off,off,164.0,565.444608
off,off baseline,off,off,off,165.0,562.823168
off,off baseline,off,off,off,166.0,562.561024
off,off baseline,off,off,off,167.0,564.658176
off,off baseline,off,off,off,168.001,564.094081918082
off,off baseline,off,off,off,169.0,563.648960960961
off,off baseline,off,off,off,170.0,565.182464
off,off baseline,off,off,off,171.0,561.250304
off,off baseline,off,off,off,172.0,563.871744
off,off baseline,off,off,off,173.0,564.396032
off,off baseline,off,off,off,174.0,563.347456
off,off baseline,off,off,off,175.0,560.201728
off,off baseline,off,off,off,176.0,563.347456
off,off baseline,off,off,off,177.0,561.250304
off,off baseline,off,off,off,178.0,563.347456
off,off baseline,off,off,off,179.0,564.396032
off,off baseline,off,off,off,180.001,563.8321998001999
off,off baseline,off,off,off,181.0,564.4361801801801
off,off baseline,off,off,off,182.0,564.658176
off,off baseline,off,off,off,183.0,563.347456
off,off baseline,off,off,off,184.0,562.561024
off,off baseline,off,off,off,185.0,563.347456
off,off baseline,off,off,off,186.0,562.29888
off,off baseline,off,off,off,187.0,562.561024
off,off baseline,off,off,off,188.0,563.347456
off,off baseline,off,off,off,189.0,563.085312
off,off baseline,off,off,off,190.0,564.658176
off,off baseline,off,off,off,191.0,567.017472
off,off baseline,off,off,off,192.0,569.638912
off,off baseline,off,off,off,193.0,572.522496
off,off baseline,off,off,off,194.0,566.23104
off,off baseline,off,off,off,195.0,563.871744
off,off baseline,off,off,off,196.0,563.347456
off,off baseline,off,off,off,197.0,562.036736
off,off baseline,off,off,off,198.0,564.396032
off,off baseline,off,off,off,199.001,561.4752607392608
off,off baseline,off,off,off,200.0,563.9113673673673
p1000_nofast,1000ms no-fast,on,1000,0,1.0,335.282176
p1000_nofast,1000ms no-fast,on,1000,0,2.0,394.788864
p1000_nofast,1000ms no-fast,on,1000,0,3.0,319.291392
p1000_nofast,1000ms no-fast,on,1000,0,4.0,368.574464
p1000_nofast,1000ms no-fast,on,1000,0,5.001,284.40398001998005
p1000_nofast,1000ms no-fast,on,1000,0,6.0,320.3982222222222
p1000_nofast,1000ms no-fast,on,1000,0,7.0,278.134784
p1000_nofast,1000ms no-fast,on,1000,0,8.0,312.213504
p1000_nofast,1000ms no-fast,on,1000,0,9.0,312.475648
p1000_nofast,1000ms no-fast,on,1000,0,10.0,214.95808
p1000_nofast,1000ms no-fast,on,1000,0,11.001,223.3854465534466
p1000_nofast,1000ms no-fast,on,1000,0,12.0,233.5417017017017
p1000_nofast,1000ms no-fast,on,1000,0,13.0,204.734464
p1000_nofast,1000ms no-fast,on,1000,0,14.0,300.417024
p1000_nofast,1000ms no-fast,on,1000,0,15.0,172.490752
p1000_nofast,1000ms no-fast,on,1000,0,16.0,315.88352
p1000_nofast,1000ms no-fast,on,1000,0,17.0,231.735296
p1000_nofast,1000ms no-fast,on,1000,0,18.001,168.65208391608394
p1000_nofast,1000ms no-fast,on,1000,0,19.0,191.8190830830831
p1000_nofast,1000ms no-fast,on,1000,0,20.0,267.124736
p1000_nofast,1000ms no-fast,on,1000,0,21.0,162.791424
p1000_nofast,1000ms no-fast,on,1000,0,22.0,311.95136
p1000_nofast,1000ms no-fast,on,1000,0,23.0,250.609664
p1000_nofast,1000ms no-fast,on,1000,0,24.0,346.554368
p1000_nofast,1000ms no-fast,on,1000,0,25.001,293.307972027972
p1000_nofast,1000ms no-fast,on,1000,0,26.0,217.2725045045045
p1000_nofast,1000ms no-fast,on,1000,0,27.0,312.737792
p1000_nofast,1000ms no-fast,on,1000,0,28.0,316.407808
p1000_nofast,1000ms no-fast,on,1000,0,29.0,193.724416
p1000_nofast,1000ms no-fast,on,1000,0,30.0,362.545152
p1000_nofast,1000ms no-fast,on,1000,0,31.0,245.366784
p1000_nofast,1000ms no-fast,on,1000,0,32.0,280.231936
p1000_nofast,1000ms no-fast,on,1000,0,33.0,358.350848
p1000_nofast,1000ms no-fast,on,1000,0,34.0,222.298112
p1000_nofast,1000ms no-fast,on,1000,0,35.0,351.010816
p1000_nofast,1000ms no-fast,on,1000,0,36.0,222.298112
p1000_nofast,1000ms no-fast,on,1000,0,37.0,315.621376
p1000_nofast,1000ms no-fast,on,1000,0,38.0,223.870976
p1000_nofast,1000ms no-fast,on,1000,0,39.0,308.281344
p1000_nofast,1000ms no-fast,on,1000,0,40.0,348.127232
p1000_nofast,1000ms no-fast,on,1000,0,41.0,213.64736
p1000_nofast,1000ms no-fast,on,1000,0,42.0,174.32576
p1000_nofast,1000ms no-fast,on,1000,0,43.0,195.559424
p1000_nofast,1000ms no-fast,on,1000,0,44.001,122.03706693306695
p1000_nofast,1000ms no-fast,on,1000,0,45.0,167.4152872872873
p1000_nofast,1000ms no-fast,on,1000,0,46.0,135.528448
p1000_nofast,1000ms no-fast,on,1000,0,47.0,122.159104
p1000_nofast,1000ms no-fast,on,1000,0,48.0,128.712704
p1000_nofast,1000ms no-fast,on,1000,0,49.001,150.32033566433566
