phase,actual_start_s,actual_end_s,duration_s,ops_mops_s,hint_faults_gib,promoted_gib,over_high_gib,demote_memstat_gib,ref_activate_gib,ref_keep_gib,ref_reclaim_gib,ref_blocked_gib,demote_selected_gib,demote_success_gib,demote_fail_gib,ref_reclaim_pct,demote_success_pct
0-60s,0.0,58.335,58.335,63.31,29.82,1.92,4.6,19.08,1.97,0.98,69.8,2.94,70.47,18.71,51.76,96.0,26.5
60-120s,58.335,118.473,60.138,159.7,12.51,1.49,1.16,1.81,0.02,0.02,1.81,0.04,1.84,1.81,0.04,97.9,98.0
120-180s,118.473,178.597,60.124,102.37,17.73,1.63,15.46,0.26,1.82,0.03,0.26,1.85,0.26,0.26,0.0,12.4,99.9
180-240s,178.597,238.727,60.13,99.46,7.04,0.12,6.91,0.11,1.77,0.01,0.11,1.77,0.11,0.11,0.0,5.9,99.6
240-300s,238.727,298.865,60.138,100.02,9.37,0.1,9.25,0.15,1.75,0.0,0.15,1.75,0.15,0.15,0.0,8.1,98.8
300-360s,298.865,359.001,60.136,100.16,0.0,0.0,0.0,0.08,1.68,0.0,0.08,1.68,0.08,0.08,0.0,4.8,98.4
360-400s,359.001,400.0,40.999,100.78,0.0,0.0,0.0,0.68,1.85,0.0,0.68,1.85,0.7,0.68,0.02,27.0,97.2
