candidate,candidate_label,policy,policy_label,rep,phase_id,phase_name,phase_kind,mean_mops_s,median_mops_s,mean_MBps,median_MBps,phase_duration_s,counter_duration_s,sampled,sampled_pte_updates,refaults,refault_rate_s,refault_pct,refault_latency_us,refault_total_ms,hint_faults,hint_faults_s,promote_gib,demote_gib,blocked,blocked_s,anon_n0_end_gib,anon_n1_end_gib,memory_current_end_gib
phase_mulshift4g_rot_move16g3s,friendly vs move16g3s,adaptive_cgroup,adaptive,1,4,mulshift-hotset-16g-move-3s,unfriendly_move16g3s,919.505807,521.455791,58848.371648,33373.170621,60.000000,58.777000,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,12.463837,51.536533,64.128551
phase_mulshift4g_rot_move16g3s,friendly vs move16g3s,adaptive_cgroup,adaptive,1,5,mulshift-hotset-4g-off48g,friendly_mulshift4g,2027.187557,2937.061376,129740.003628,187971.928064,60.001000,59.374000,104860,104860,104860,1766.092903,100.000000,10.490177,1100.000000,1698809,28612.001886,4.000000,0.000000,48198,811.769461,15.590786,48.409584,64.129059
phase_mulshift4g_rot_move16g3s,friendly vs move16g3s,adaptive_cgroup,adaptive,1,6,mulshift-hotset-16g-move-3s,unfriendly_move16g3s,983.044881,853.280032,62914.872366,54609.922050,60.002000,58.630000,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,15.200478,48.799892,64.129814
phase_mulshift4g_rot_sparse64,friendly vs sparse64,off,off+demotion,1,1,mulshift-hotset-4g-off40g,friendly_mulshift4g,611.140752,613.990203,39113.008132,39295.372967,60.000000,59.575000,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000286,62.540195,62.669903
phase_mulshift4g_rot_sparse64,friendly vs sparse64,off,off+demotion,1,2,sparse-stride-read-64g,unfriendly_sparse64,86.730645,83.886080,693.845163,671.088640,60.001000,59.167000,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,1.460014,62.540199,64.131531
phase_mulshift4g_rot_sparse64,friendly vs sparse64,off,off+demotion,1,3,mulshift-hotset-4g-off48g,friendly_mulshift4g,600.654665,608.548571,38441.898552,38947.108571,60.000000,58.695000,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,1.460228,62.540199,64.130447
phase_mulshift4g_rot_sparse64,friendly vs sparse64,off,off+demotion,1,4,sparse-stride-read-64g,unfriendly_sparse64,89.010238,84.054188,712.081907,672.433507,60.002000,59.244000,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,1.460228,62.540199,64.132923
phase_mulshift4g_rot_sparse64,friendly vs sparse64,off,off+demotion,1,5,mulshift-hotset-4g-off56g,friendly_mulshift4g,585.125639,590.544896,37448.040898,37794.873344,60.001000,58.714000,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,1.460228,62.540199,64.131359
phase_mulshift4g_rot_sparse64,friendly vs sparse64,off,off+demotion,1,6,sparse-stride-read-64g,unfriendly_sparse64,86.449561,83.886080,691.596489,671.088640,60.001000,59.204000,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,1.460232,62.540199,64.133198
phase_mulshift4g_rot_sparse64,friendly vs sparse64,on,migration-on,1,1,mulshift-hotset-4g-off40g,friendly_mulshift4g,2360.873410,3138.056483,151095.898257,200835.614919,60.000000,59.353000,104859,104859,104859,1766.700925,100.000000,2.517667,264.000000,1153442,19433.592236,4.000023,0.000000,0,0.000000,4.000313,58.553566,62.687420
phase_mulshift4g_rot_sparse64,friendly vs sparse64,on,migration-on,1,2,sparse-stride-read-64g,unfriendly_sparse64,86.728156,100.663296,693.825246,805.306368,60.001000,59.185000,215172,215173,215177,3635.667821,100.002324,2.156364,464.000000,18984185,320760.074343,8.210072,0.000000,369150,6237.222269,15.616524,48.383865,64.132660
phase_mulshift4g_rot_sparse64,friendly vs sparse64,on,migration-on,1,3,mulshift-hotset-4g-off48g,friendly_mulshift4g,1361.955935,1110.376448,87165.179838,71064.092672,60.001000,58.374000,81640,81640,81640,1398.567856,100.000000,2.253797,184.000000,4135440,70843.868846,3.114510,0.000000,69240,1186.144516,15.201283,48.799107,64.131031
phase_mulshift4g_rot_sparse64,friendly vs sparse64,on,migration-on,1,4,sparse-stride-read-64g,unfriendly_sparse64,89.002972,100.663296,712.023778,805.306368,60.001000,59.275000,61130,61130,61130,1031.294812,100.000000,2.093898,128.000000,16313210,275212.315479,2.332153,0.000000,374128,6311.733446,15.615894,48.384281,64.131618
phase_mulshift4g_rot_sparse64,friendly vs sparse64,on,migration-on,1,5,mulshift-hotset-4g-off56g,friendly_mulshift4g,735.920991,753.008640,47098.943404,48192.552960,60.000000,59.629000,40,40,40,0.670815,100.000000,0.000000,0.000000,4943826,82909.758674,0.001415,0.000000,192580,3229.636586,15.617523,48.382866,64.130650
phase_mulshift4g_rot_sparse64,friendly vs sparse64,on,migration-on,1,6,sparse-stride-read-64g,unfriendly_sparse64,96.971022,100.663296,775.768172,805.306368,60.000000,58.169000,0,0,0,0.000000,0.000000,0.000000,0.000000,5297456,91070.088879,0.000000,0.000000,0,0.000000,15.617321,48.382858,64.131538
phase_mulshift4g_rot_sparse64,friendly vs sparse64,adaptive_cgroup,adaptive,1,1,mulshift-hotset-4g-off40g,friendly_mulshift4g,2204.566400,3122.277831,141092.249600,199825.781198,60.001000,59.421000,104859,104859,104859,1764.679154,100.000000,2.822838,296.000000,1153441,19411.336060,4.000019,0.000000,0,0.000000,4.000336,58.554138,62.686741
phase_mulshift4g_rot_sparse64,friendly vs sparse64,adaptive_cgroup,adaptive,1,2,sparse-stride-read-64g,unfriendly_sparse64,96.685469,100.663296,773.483752,805.306368,60.001000,59.277000,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,6.441257,57.558910,64.131615
phase_mulshift4g_rot_sparse64,friendly vs sparse64,adaptive_cgroup,adaptive,1,3,mulshift-hotset-4g-off48g,friendly_mulshift4g,2050.420500,3130.130432,131226.911980,200328.347648,60.000000,58.490000,103110,103110,103110,1762.865447,100.000000,2.831927,292.000000,1134229,19391.844760,3.933407,0.000000,0,0.000000,10.374878,53.625504,64.131416
phase_mulshift4g_rot_sparse64,friendly vs sparse64,adaptive_cgroup,adaptive,1,4,sparse-stride-read-64g,unfriendly_sparse64,100.380034,100.663296,803.040270,805.306368,60.001000,59.404000,43970,43970,43970,740.185846,100.000000,3.547874,156.000000,485160,8167.126793,1.682583,0.000000,0,0.000000,14.034622,49.965549,64.132027
phase_mulshift4g_rot_sparse64,friendly vs sparse64,adaptive_cgroup,adaptive,1,5,mulshift-hotset-4g-off56g,friendly_mulshift4g,1835.603709,1363.751129,117478.637364,87280.072248,60.001000,59.468000,96320,96320,96320,1619.694626,100.000000,2.367110,228.000000,2250333,37841.074191,3.674076,0.000000,13545,227.769557,15.323627,48.676758,64.129696
phase_mulshift4g_rot_sparse64,friendly vs sparse64,adaptive_cgroup,adaptive,1,6,sparse-stride-read-64g,unfriendly_sparse64,110.618952,117.323189,884.951614,938.585510,60.001000,58.119000,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,15.200443,48.799942,64.131741
