candidate,policy,n,mean_mops_s,sd_mops_s,on_off_ratio_mops_s,mean_MB_s,sd_MB_s,on_off_ratio_MB_s,mean_promote_gib,sd_promote_gib,mean_hint_faults_m,mean_promotion_blocked_m,mean_sampled_refault_m,mean_sampled_refault_avg_us,mean_vm_pgmigrate_success_m,mean_vm_pgmigrate_fail_m
pc_64g_stride_remoteft,off,3,118.53929394152047,0.7516486505625484,,7586.51481225731,48.105513636003096,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pc_64g_stride_remoteft,on,3,102.79609038596492,6.163774499083383,0.8671900006142923,6578.949784701755,394.4815679413365,0.8671900006142923,20.37430191040039,0.5280944160786627,214.00510566666665,0.930129,0.5341023333333333,1.3333333333333333,6.990733666666667,0.9301866666666666
sparse_stride_read_64g_remoteft,off,3,91.3321084043442,0.07586411477015192,,730.6568672347536,0.6069129181612154,,0.0,0.0,0.0,0.0,0.0,0.0,0.20339033333333334,1.8333333333333333e-05
sparse_stride_read_64g_remoteft,on,3,85.5539903625731,0.16993561708513408,0.9367350853635142,684.4319229005848,1.3594849366810726,0.9367350853635142,14.158000946044922,0.036200369404930356,11.172199666666666,0.0,0.3711486666666667,1.3333333333333333,3.711435,0.0
