timestamp,elapsed_s,node_balancing,memory_current,anon_n0,anon_n1,file_n0,file_n1,active_file_n0,active_file_n1,inactive_file_n0,inactive_file_n1,pagetables_n0,pagetables_n1,numa_hint_faults,numa_pages_migrated,pgpromote_success,pgdemote_kswapd,pgdemote_direct,local_pte_updates,local_refault,local_refault_hit,local_lost
2026-05-21T05:24:10Z,168,2,74005737472,7848861696,30335905792,0,35709186048,0,16384,0,35708952576,0,0,26179450,11510675,11510675,0,21501754,0,0,0,0
2026-05-21T05:24:15Z,173,2,74005737472,7848861696,30335905792,0,35709186048,0,16384,0,35708952576,0,0,26179450,11510675,11510675,0,21501754,0,0,0,0
2026-05-21T05:24:20Z,178,2,74005737472,8248442880,29936283648,0,35709186048,0,16384,0,35708952576,0,0,28116648,11682786,11682786,0,21593463,0,0,0,0
2026-05-21T05:24:26Z,184,2,74005737472,7688589312,30496178176,0,35709186048,0,16384,0,35708952576,0,0,28116648,11682786,11682786,0,21712994,0,0,0,0
2026-05-21T05:24:31Z,189,2,74005737472,7688589312,30496178176,0,35709186048,0,16384,0,35708952576,0,0,29323534,11682786,11682786,0,21712994,0,0,0,0
2026-05-21T05:24:36Z,194,2,74005737472,8007438336,30177329152,0,35709186048,0,16384,0,35708952576,0,0,29637854,11764343,11764343,0,21712994,0,0,0,0
2026-05-21T05:24:42Z,200,2,74005737472,8022646784,30162120704,0,35709186048,0,16384,0,35708952576,0,0,29830326,11764343,11764343,0,21712994,0,0,0,0
2026-05-21T05:24:47Z,205,2,74002657280,8512741376,29672005632,0,35709186048,0,16384,0,35708952576,0,0,31009216,12091991,12091991,0,22021261,0,0,0,0
2026-05-21T05:24:52Z,210,2,74002657280,7997755392,30187012096,0,35709186048,0,16384,0,35708952576,0,0,31009249,12092024,12092024,0,22143309,0,0,0,0
2026-05-21T05:24:58Z,216,2,74002657280,7997755392,30187012096,0,35709186048,0,16384,0,35708952576,0,0,31009249,12092024,12092024,0,22143309,0,0,0,0
2026-05-21T05:25:03Z,221,2,74002657280,7997755392,30187012096,0,35709186048,0,16384,0,35708952576,0,0,31779836,12092024,12092024,0,22143309,0,0,0,0
2026-05-21T05:25:08Z,226,2,74002657280,8556511232,29628043264,0,35709186048,0,16384,0,35708952576,0,0,34114559,12395483,12395999,0,22319565,0,0,0,0
2026-05-21T05:25:14Z,232,2,74002657280,8013225984,30171541504,0,35709186048,0,16384,0,35708952576,0,0,34164889,12445241,12445241,0,22492749,0,0,0,0
2026-05-21T05:25:19Z,237,2,74002657280,8013225984,30171541504,0,35709186048,0,16384,0,35708952576,0,0,34164889,12445241,12445241,0,22492749,0,0,0,0
