policy,read_s,trial_avg_s,trial_times_s,elapsed_s,hint_faults,pte_updates,promoted_pages,demoted_pages,node_balancing,promoted_gib,demoted_gib
off,30.91569,19.11743,19.53829;18.89169;18.92230,90,0,0,0,10176841,0,0.0,38.82156753540039
on,26.26831,55.99104,53.45255;49.50145;65.01911,197,29702070,29898160,13100805,23218700,2,49.97560501098633,88.57231140136719
