phase,interval_s,ops_mops,promote_pages,promote_GB,demote_pages,demote_GB,candidate_events,candidate_event_GB,fail_pages,scan_GB,steal_GB,cold_GB,promoted_sort_event_GB,protected_GB,promote_total_GB,demote_total_GB,candidate_total_GB,proc_n0_GiB,proc_n1_GiB
1,0-60,247.09256533333334,1441842.5514844754,5.905787090880411,1431746.9280048348,5.864435417107804,11273691.523456976,46.177040480079775,684.3969932764221,5.872272629614565,5.864435417107804,5.872272629614565,0.012513453283976732,0.015930126253380673,5.905787090880411,5.864435417107804,46.177040480079775,14.87018878231004,49.132279633737234
2,60-120,285.16461226666667,878760.8854903146,3.5994045869683284,889010.2629543073,3.6413860370608426,7323975.063909005,29.999001861771287,0.6030067235778915,3.6481171488195114,3.6413860370608426,3.6481171488195114,0.00822973756389345,0.0007377297512556632,9.505191677848739,9.505821454168645,76.17604234185106,14.87310020559527,49.12922748376652
3,120-180,337.11827626666667,1056786.526948547,4.328597614381248,1056987.0164816696,4.329418819508919,8738798.835407414,35.79412002982877,0.41262683201807704,4.346586649579453,4.329418819508919,4.346603550774493,0.014672653806019332,0.0012855492535372806,13.833789292229987,13.835240273677565,111.97016237167982,14.739348874957612,49.263132918915865
4,180-240,388.22543360000003,643351.5184186706,2.635167819442875,647601.6680238722,2.6525764322257803,6187823.809568614,25.345326323993042,26.245365733037715,3.921942599614725,2.6525764322257803,3.9219256984196855,4.351911763256891,0.009807048213945341,16.468957111672864,16.487816705903345,137.31548869567285,15.037981146773442,48.96450222114648
5,240-300,450.12746239999996,48596.97361367103,0.19905320392159653,24038.74558794778,0.0984627019282341,5538084.363225859,22.683993551773117,696.4738633906229,0.4354730565822716,0.09860811560136414,0.4354730565822716,627.2034059381058,0.004624251697964143,16.668010315594458,16.58627940783158,159.999482247446,15.165410730250985,48.83707263766894
6,300-360,453.3704021333333,10370.661628806964,0.042478230031593324,7213.309885916766,0.029545717292715074,7450066.930575654,30.515474147637878,283.72576617017035,0.1252534126725464,0.02974116750437355,0.1252534126725464,891.8421797399428,8.473192344443127e-05,16.710488545626053,16.615825125124296,190.51495639508386,15.181046285739303,48.821437082180616
7,360-400,448.49397760000005,4072.709940089844,0.016681819914608,4430.357874515001,0.018146745854013442,4186558.133617632,17.14814211529782,154.13774711616907,0.07816918076742935,0.017885763453018188,0.07816918076742935,610.4112064107932,4.4153687851946804e-05,16.727170365540662,16.633971870978307,207.66309851038167,15.18241106058583,48.820072307334094
