policy,sample_basis,sample,elapsed_ms,phase_id,phase_rel_ms,stop_effective,running,current_demote_promoted,delta_current,slope_est,abs_slope_est,threshold_est,slope_below_threshold,earlystop_cnt,hint_delta,pte_delta,promote_delta,demote_delta
adaptive_cgroup,1s_live,116,119031,2,59031,0,1,0,0,0,0,10000,1,0,0,0,0,0
adaptive_cgroup,1s_live,117,120048,2,60048,0,1,0,0,0,0,10000,1,0,0,0,0,0
adaptive_cgroup,1s_live,118,121098,2,61098,0,1,0,0,0,0,10000,1,0,0,0,0,0
adaptive_cgroup,1s_live,119,122161,2,62161,0,1,0,0,0,0,10000,1,0,0,0,0,0
adaptive_cgroup,1s_live,120,123225,2,63225,0,1,0,0,0,0,10000,1,0,0,0,0,0
adaptive_cgroup,1s_live,121,124288,2,64288,0,1,0,0,0,0,10000,1,0,0,0,0,0
adaptive_cgroup,2s_downsample_est,0,60,1,60,1,1,0,0,,,10000,,0,0,0,0,0
adaptive_cgroup,2s_downsample_est,2,2137,1,2137,1,1,0,0,,,10000,,0,170624,649344,155104,0
adaptive_cgroup,2s_downsample_est,4,4231,1,4231,1,1,0,0,0,0,10000,1,0,577163,589824,102773,106944
adaptive_cgroup,2s_downsample_est,6,6291,1,6291,1,1,0,0,0,0,10000,1,0,333011,655360,43606,84032
adaptive_cgroup,2s_downsample_est,8,8355,1,8355,1,1,0,0,0,0,10000,1,0,0,655360,0,33920
adaptive_cgroup,2s_downsample_est,10,10419,1,10419,1,1,0,0,0,0,10000,1,0,0,655360,0,70592
adaptive_cgroup,2s_downsample_est,12,12489,1,12489,1,1,0,0,0,0,10000,1,0,0,655360,0,26240
adaptive_cgroup,2s_downsample_est,14,14546,1,14546,1,1,0,0,0,0,10000,1,0,0,589824,0,0
adaptive_cgroup,2s_downsample_est,16,16604,1,16604,1,1,0,0,0,0,10000,1,0,0,655360,0,0
adaptive_cgroup,2s_downsample_est,18,18670,1,18670,1,1,0,0,0,0,10000,1,0,0,589824,0,0
adaptive_cgroup,2s_downsample_est,20,20731,1,20731,1,1,0,0,0,0,10000,1,0,0,655360,0,0
adaptive_cgroup,2s_downsample_est,22,22800,1,22800,1,1,0,0,0,0,10000,1,0,4,348542,4,0
adaptive_cgroup,2s_downsample_est,24,24859,1,24859,1,1,0,0,0,0,10000,1,0,36826,312793,33475,0
adaptive_cgroup,2s_downsample_est,26,26906,1,26906,1,1,0,0,0,0,10000,1,0,233717,257327,212468,0
adaptive_cgroup,2s_downsample_est,28,28983,1,28983,1,1,0,0,0,0,10000,1,0,302123,211436,135808,141120
adaptive_cgroup,2s_downsample_est,30,31064,1,31064,1,1,0,0,0,0,10000,1,0,266976,235343,168273,169792
adaptive_cgroup,2s_downsample_est,32,33115,1,33115,1,1,0,0,0,0,10000,1,0,0,0,0,219392
adaptive_cgroup,2s_downsample_est,34,35157,1,35157,1,1,0,0,0,0,10000,1,0,0,0,0,0
adaptive_cgroup,2s_downsample_est,36,37198,1,37198,1,1,0,0,0,0,10000,1,0,0,327680,0,0
adaptive_cgroup,2s_downsample_est,38,39245,1,39245,1,1,0,0,0,0,10000,1,0,0,161658,0,0
adaptive_cgroup,2s_downsample_est,40,41289,1,41289,1,1,0,0,0,0,10000,1,0,1754,82688,1594,0
adaptive_cgroup,2s_downsample_est,42,43335,1,43335,1,1,0,0,0,0,10000,1,0,116329,105322,105751,0
adaptive_cgroup,2s_downsample_est,44,45380,1,45380,1,1,0,0,0,0,10000,1,0,83900,58373,76270,175808
adaptive_cgroup,2s_downsample_est,46,47429,1,47429,1,1,0,0,0,0,10000,1,0,0,0,0,0
adaptive_cgroup,2s_downsample_est,48,49482,1,49482,1,1,0,0,0,0,10000,1,0,0,0,0,0
adaptive_cgroup,2s_downsample_est,50,51529,1,51529,1,1,0,0,0,0,10000,1,0,0,0,0,0
adaptive_cgroup,2s_downsample_est,52,53577,1,53577,1,1,0,0,0,0,10000,1,0,0,0,0,0
adaptive_cgroup,2s_downsample_est,54,55627,1,55627,1,1,0,0,0,0,10000,1,0,0,0,0,0
adaptive_cgroup,2s_downsample_est,56,57675,1,57675,1,1,0,0,0,0,10000,1,0,0,0,0,0
adaptive_cgroup,2s_downsample_est,58,59723,1,59723,1,1,0,0,0,0,10000,1,0,0,0,0,0
adaptive_cgroup,2s_downsample_est,60,61766,2,1766,0,1,0,0,0,0,10000,1,0,0,0,0,0
adaptive_cgroup,2s_downsample_est,62,63813,2,3813,0,1,0,0,0,0,10000,1,0,0,0,0,0
adaptive_cgroup,2s_downsample_est,64,65858,2,5858,0,1,0,0,0,0,10000,1,0,0,0,0,0
adaptive_cgroup,2s_downsample_est,66,67897,2,7897,0,1,0,0,0,0,10000,1,0,0,0,0,0
adaptive_cgroup,2s_downsample_est,68,69942,2,9942,0,1,0,0,0,0,10000,1,0,0,0,0,0
adaptive_cgroup,2s_downsample_est,70,71994,2,11994,0,1,0,0,0,0,10000,1,0,0,0,0,0
adaptive_cgroup,2s_downsample_est,72,74039,2,14039,0,1,0,0,0,0,10000,1,0,0,0,0,0
adaptive_cgroup,2s_downsample_est,74,76082,2,16082,0,1,0,0,0,0,10000,1,0,0,0,0,0
adaptive_cgroup,2s_downsample_est,76,78125,2,18125,0,1,0,0,0,0,10000,1,0,0,0,0,0
adaptive_cgroup,2s_downsample_est,78,80173,2,20173,0,1,0,0,0,0,10000,1,0,0,0,0,0
adaptive_cgroup,2s_downsample_est,80,82221,2,22221,0,1,0,0,0,0,10000,1,0,0,0,0,0
adaptive_cgroup,2s_downsample_est,82,84265,2,24265,0,1,0,0,0,0,10000,1,0,0,0,0,0
adaptive_cgroup,2s_downsample_est,84,86313,2,26313,0,1,0,0,0,0,10000,1,0,0,0,0,0
adaptive_cgroup,2s_downsample_est,86,88351,2,28351,0,1,0,0,0,0,10000,1,0,0,0,0,0
adaptive_cgroup,2s_downsample_est,88,90390,2,30390,0,1,0,0,0,0,10000,1,0,0,0,0,0
adaptive_cgroup,2s_downsample_est,90,92434,2,32434,0,1,0,0,0,0,10000,1,0,0,0,0,0
adaptive_cgroup,2s_downsample_est,92,94482,2,34482,0,1,0,0,0,0,10000,1,0,0,0,0,0
adaptive_cgroup,2s_downsample_est,94,96522,2,36522,0,1,0,0,0,0,10000,1,0,0,0,0,0
adaptive_cgroup,2s_downsample_est,96,98570,2,38570,0,1,0,0,0,0,10000,1,0,0,0,0,0
adaptive_cgroup,2s_downsample_est,98,100621,2,40621,0,1,0,0,0,0,10000,1,0,0,0,0,0
adaptive_cgroup,2s_downsample_est,100,102666,2,42666,0,1,0,0,0,0,10000,1,0,0,0,0,0
adaptive_cgroup,2s_downsample_est,102,104707,2,44707,0,1,0,0,0,0,10000,1,0,0,0,0,0
adaptive_cgroup,2s_downsample_est,104,106759,2,46759,0,1,0,0,0,0,10000,1,0,0,0,0,0
adaptive_cgroup,2s_downsample_est,106,108805,2,48805,0,1,0,0,0,0,10000,1,0,0,0,0,0
adaptive_cgroup,2s_downsample_est,108,110853,2,50853,0,1,0,0,0,0,10000,1,0,0,0,0,0
adaptive_cgroup,2s_downsample_est,110,112891,2,52891,0,1,0,0,0,0,10000,1,0,0,0,0,0
adaptive_cgroup,2s_downsample_est,112,114943,2,54943,0,1,0,0,0,0,10000,1,0,0,0,0,0
adaptive_cgroup,2s_downsample_est,114,116994,2,56994,0,1,0,0,0,0,10000,1,0,0,0,0,0
adaptive_cgroup,2s_downsample_est,116,119031,2,59031,0,1,0,0,0,0,10000,1,0,0,0,0,0
adaptive_cgroup,2s_downsample_est,118,121098,2,61098,0,1,0,0,0,0,10000,1,0,0,0,0,0
adaptive_cgroup,2s_downsample_est,120,123225,2,63225,0,1,0,0,0,0,10000,1,0,0,0,0,0
