source_run,suite,local_size_gib,workload,config,returncode,elapsed_s,max_rss_kb,max_process_N0_GiB,max_process_N1_GiB,max_node0_used_GiB,max_node1_used_GiB,promoted_GiB,demoted_GiB,numa_hint_faults,numa_pte_updates,numa_promote_access,numa_promote_access_pages,numa_promote_nrl,numa_promote_nrl_pages,numa_promote_latency_reject,numa_promote_latency_reject_pages,numa_promote_hot,numa_promote_hot_pages,numa_promote_rate_limit_reject,numa_promote_rate_limit_reject_pages,numa_promote_try,numa_promote_try_pages,numa_tpp_inactive_reject,numa_tpp_inactive_reject_pages,numa_tpp_active_candidate,numa_tpp_active_candidate_pages,pgpromote_candidate,pgpromote_candidate_nrl,pgpromote_candidate_demoted,pgpromote_success,pgdemote_kswapd,pgdemote_direct,before_numa_balancing,after_numa_balancing,before_lru_gen_enabled,after_lru_gen_enabled,before_demotion_enabled,after_demotion_enabled,before_demotion_target,after_demotion_target,before_thp_enabled,after_thp_enabled,before_thp_defrag,after_thp_defrag,thp_mode,thp_defrag,before_scan_size_mb,after_scan_size_mb,before_scan_period_min_ms,after_scan_period_min_ms,before_hot_threshold_ms,after_hot_threshold_ms,before_local_fault_scan_size_mb,after_local_fault_scan_size_mb,before_local_fault_scan_period_ms,after_local_fault_scan_period_ms,avg_trial_s,read_s,graph500_teps,ycsb_throughput_ops,redis_last_ops_per_sec,silo_agg_throughput_ops,faster_ops_sec,gapbs_graph_mode,gapbs_graph_scale,gapbs_graph_path,graph_build_included,pr_trials,bc_trials,pr_iterations,bc_iterations,silo_scale_factor,silo_ops_per_worker,silo_threads,liblinear_dataset,liblinear_solver,liblinear_threads,command,placement,result_dir
vm32_local16_32_48,main_vm32,16,faster_ycsb_a,tiering_0x2,0,286,61598544,15.567146,44.147758,15.565651,58.573555,13.408268,20.669666,24211468,26130685,24211468,24211468,0,0,19913586,19913586,4297882,4297882,0,0,4297882,4297882,0,0,0,0,4297882,0,1225107,3514897,5418429,0,2,2,0x0007,0x0007,true,true,0 1 1 -1,0 1 1 -1,always [madvise] never,always [madvise] never,always defer defer+madvise [madvise] never,always defer defer+madvise [madvise] never,,,256,256,1000,1000,1000,1000,256,256,1000,1000,,,,,,,35969906.37,,,,,,,,,,,,,,,numactl --cpunodebind=0 /root/scripts/run_workload_case_guest.sh faster_ycsb_a ,numactl --cpunodebind=0 ,/Serverless/iccd-git/motivation/3_realworld/VM/results/20260608T120942Z-guestlocal-progress2-vm32-local16-32-48/guest-results/local16/tiering_0x2/faster_ycsb_a
vm32_local16_32_48,main_vm32,16,faster_ycsb_a,tpp_0x4,0,299,61593920,15.333324,44.025131,15.565422,56.737915,67.029125,71.395950,28717786,28889780,28717786,28717786,0,0,0,0,0,0,0,0,28717373,28717373,413,413,28717373,28717373,28717373,0,14474303,17571283,18716020,0,4,4,0x0007,0x0007,true,true,0 1 1 -1,0 1 1 -1,always [madvise] never,always [madvise] never,always defer defer+madvise [madvise] never,always defer defer+madvise [madvise] never,,,256,256,1000,1000,1000,1000,256,256,1000,1000,,,,,,,29133509.59,,,,,,,,,,,,,,,numactl --cpunodebind=0 /root/scripts/run_workload_case_guest.sh faster_ycsb_a ,numactl --cpunodebind=0 ,/Serverless/iccd-git/motivation/3_realworld/VM/results/20260608T120942Z-guestlocal-progress2-vm32-local16-32-48/guest-results/local16/tpp_0x4/faster_ycsb_a
vm32_local16_32_48,main_vm32,16,graph500,migration_off,0,375,115916680,15.221928,95.332542,15.558788,95.980995,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0007,0x0007,false,false,0 -1 1 -1,0 -1 1 -1,always [madvise] never,always [madvise] never,always defer defer+madvise [madvise] never,always defer defer+madvise [madvise] never,,,256,256,1000,1000,1000,1000,256,256,1000,1000,,,,,,,,,,,,,,,,,,,,,,numactl --cpunodebind=0 /root/benchmark/vmitosis-workloads/bin/bench_graph500_mt -s 28 ,numactl --cpunodebind=0 ,/Serverless/iccd-git/motivation/3_realworld/VM/results/20260608T120942Z-guestlocal-progress2-vm32-local16-32-48/guest-results/local16/migration_off/graph500
vm32_local16_32_48,main_vm32,16,graph500,tiering_0x2,0,398,115923544,15.482330,95.429981,15.566082,96.218044,37.421711,38.259861,70492724,88777381,70492724,70492724,0,0,52404151,52404151,18088573,18088573,0,0,18088573,18088573,0,0,0,0,18088573,0,3487526,9809877,10029593,0,2,2,0x0007,0x0007,true,true,0 1 1 -1,0 1 1 -1,always [madvise] never,always [madvise] never,always defer defer+madvise [madvise] never,always defer defer+madvise [madvise] never,,,256,256,1000,1000,1000,1000,256,256,1000,1000,,,,,,,,,,,,,,,,,,,,,,numactl --cpunodebind=0 /root/benchmark/vmitosis-workloads/bin/bench_graph500_mt -s 28 ,numactl --cpunodebind=0 ,/Serverless/iccd-git/motivation/3_realworld/VM/results/20260608T120942Z-guestlocal-progress2-vm32-local16-32-48/guest-results/local16/tiering_0x2/graph500
vm32_local16_32_48,main_vm32,16,graph500,tpp_0x4,0,410,115927972,17.209171,95.520329,15.564335,96.697750,122.377625,123.553272,71306532,84508013,71306532,71306532,0,0,0,0,0,0,0,0,71306532,71306532,0,0,71306532,71306532,71306529,0,23678490,32080560,32388749,0,4,4,0x0007,0x0007,true,true,0 1 1 -1,0 1 1 -1,always [madvise] never,always [madvise] never,always defer defer+madvise [madvise] never,always defer defer+madvise [madvise] never,,,256,256,1000,1000,1000,1000,256,256,1000,1000,,,,,,,,,,,,,,,,,,,,,,numactl --cpunodebind=0 /root/benchmark/vmitosis-workloads/bin/bench_graph500_mt -s 28 ,numactl --cpunodebind=0 ,/Serverless/iccd-git/motivation/3_realworld/VM/results/20260608T120942Z-guestlocal-progress2-vm32-local16-32-48/guest-results/local16/tpp_0x4/graph500
vm32_local16_32_48,main_vm32,16,gups,migration_off,0,535,67106260,15.233421,48.767712,15.562054,49.419823,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0007,0x0007,false,false,0 -1 1 -1,0 -1 1 -1,always [madvise] never,always [madvise] never,always defer defer+madvise [madvise] never,always defer defer+madvise [madvise] never,,,256,256,1000,1000,1000,1000,256,256,1000,1000,,,,,,,,,,,,,,,,,,,,,,numactl --cpunodebind=0 /root/benchmark/vmitosis-workloads/bin/bench_gups_mt 64 ,numactl --cpunodebind=0 ,/Serverless/iccd-git/motivation/3_realworld/VM/results/20260608T120942Z-guestlocal-progress2-vm32-local16-32-48/guest-results/local16/migration_off/gups
vm32_local16_32_48,main_vm32,16,gups,tiering_0x2,0,590,67110020,15.310596,48.961754,15.561234,49.813614,8.229576,9.422165,125849759,126093380,125849759,125849759,0,0,10804451,10804451,115045308,115045308,0,0,115045308,115045308,0,0,0,0,115045308,0,1549457,2157334,2469964,0,2,2,0x0007,0x0007,true,true,0 1 1 -1,0 1 1 -1,always [madvise] never,always [madvise] never,always defer defer+madvise [madvise] never,always defer defer+madvise [madvise] never,,,256,256,1000,1000,1000,1000,256,256,1000,1000,,,,,,,,,,,,,,,,,,,,,,numactl --cpunodebind=0 /root/benchmark/vmitosis-workloads/bin/bench_gups_mt 64 ,numactl --cpunodebind=0 ,/Serverless/iccd-git/motivation/3_realworld/VM/results/20260608T120942Z-guestlocal-progress2-vm32-local16-32-48/guest-results/local16/tiering_0x2/gups
vm32_local16_32_48,main_vm32,16,gups,tpp_0x4,0,593,67110020,15.254295,48.891048,15.563511,49.760456,5.336601,5.316742,119086819,119489571,119086819,119086819,0,0,0,0,0,0,0,0,119086739,119086739,80,80,119086739,119086739,119086739,0,902824,1398958,1393752,0,4,4,0x0007,0x0007,true,true,0 1 1 -1,0 1 1 -1,always [madvise] never,always [madvise] never,always defer defer+madvise [madvise] never,always defer defer+madvise [madvise] never,,,256,256,1000,1000,1000,1000,256,256,1000,1000,,,,,,,,,,,,,,,,,,,,,,numactl --cpunodebind=0 /root/benchmark/vmitosis-workloads/bin/bench_gups_mt 64 ,numactl --cpunodebind=0 ,/Serverless/iccd-git/motivation/3_realworld/VM/results/20260608T120942Z-guestlocal-progress2-vm32-local16-32-48/guest-results/local16/tpp_0x4/gups
vm32_local16_32_48,main_vm32,16,liblinear,migration_off,0,217,13588592,11.344372,1.622101,15.512577,2.228603,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0007,0x0007,false,false,0 -1 1 -1,0 -1 1 -1,always [madvise] never,always [madvise] never,always defer defer+madvise [madvise] never,always defer defer+madvise [madvise] never,,,256,256,1000,1000,1000,1000,256,256,1000,1000,,,,,,,,,,,,,,,,,,,kdd12,6,32,numactl --cpunodebind=0 /root/benchmark/liblinear-multicore-2.47/train -s 6 -m 32 /root/benchmark/liblinear-multicore-2.47/datasets/kdd12 /root/realworld-work/liblinear/migration_off-kdd12.model ,numactl --cpunodebind=0 ,/Serverless/iccd-git/motivation/3_realworld/VM/results/20260608T120942Z-guestlocal-progress2-vm32-local16-32-48/guest-results/local16/migration_off/liblinear
vm32_local16_32_48,main_vm32,16,liblinear,tiering_0x2,0,172,13588588,12.770267,0.983906,15.545094,2.304852,0.980518,1.426861,552379,554946,552379,552379,1,1,187321,187321,365057,365057,0,0,365058,365058,0,0,0,0,365057,1,0,257037,374043,0,2,2,0x0007,0x0007,true,true,0 1 1 -1,0 1 1 -1,always [madvise] never,always [madvise] never,always defer defer+madvise [madvise] never,always defer defer+madvise [madvise] never,,,256,256,1000,1000,1000,1000,256,256,1000,1000,,,,,,,,,,,,,,,,,,,kdd12,6,32,numactl --cpunodebind=0 /root/benchmark/liblinear-multicore-2.47/train -s 6 -m 32 /root/benchmark/liblinear-multicore-2.47/datasets/kdd12 /root/realworld-work/liblinear/tiering_0x2-kdd12.model ,numactl --cpunodebind=0 ,/Serverless/iccd-git/motivation/3_realworld/VM/results/20260608T120942Z-guestlocal-progress2-vm32-local16-32-48/guest-results/local16/tiering_0x2/liblinear
