workload,all_local,all_slow,all_slow_over_all_local
bc,225,990,4.4
btree,443,1164,2.6275395033860045
faster_uniform,286,294,1.027972027972028
faster_ycsb_a,279,286,1.025089605734767
graph500,225,388,1.7244444444444444
gups,279,746,2.673835125448029
liblinear,162,314,1.9382716049382716
pr,420,1718,4.09047619047619
redis_uniform,178,217,1.2191011235955056
redis_ycsb_a,278,379,1.3633093525179856
