candidate,primary,metric,off,on,on_off_ratio,delta_pct,off_mops_s,on_mops_s,off_MB_s,on_MB_s,promote_gib_on,hint_faults_on_m,blocked_on_m,return_off,return_on
pc_64g_stride_remoteft,ops,mean_mops_s,119.42843733333333,101.33807407407407,0.8485254964128204,-15.147450358717961,119.42843733333333,101.33807407407407,7643.419989333333,6485.636740740741,18.529266357421875,109.46574,0.523286,0,0
sparse_stride_read_64g_remoteft,bytes,mean_MB_s,735.7119905185185,666.117613037037,0.9054054054054054,-9.459459459459463,91.96399881481481,83.26470162962963,735.7119905185185,666.117613037037,14.170539855957031,9.429477,0.0,0,0
index_rf_segmented_64g_span4k,ops,mean_mops_s,168.85957214814815,180.5104165925926,1.0689972401103958,6.899724011039576,168.85957214814815,180.5104165925926,10807.012617481481,11552.666661925927,0.2544708251953125,0.073386,0.0,0,0
index_rf_segmented_64g_span256k,ops,mean_mops_s,228.90025718518518,259.50314192592595,1.1336952833389888,13.369528333898884,228.90025718518518,259.50314192592595,14649.616459851852,16608.20108325926,0.06250762939453125,0.018025,0.0,0,0
index_rf_segmented_64g_span64k,ops,mean_mops_s,218.88053096296295,271.23165866666665,1.2391767210787792,23.91767210787792,218.88053096296295,271.23165866666665,14008.353981629629,17358.826154666665,0.06250381469726562,0.018024,0.0,0,0
skew_rf_read_8g_move_1s_mulshift_persistent,ops,mean_mops_s,441.8971117037037,1006.043136,2.2766456474930794,127.66456474930794,441.8971117037037,1006.043136,28281.415149037035,64386.760704,19.484851837158203,28.812455,0.332004,0,0
skew_rf_read_16g_move_250ms_mulshift_persistent,ops,mean_mops_s,303.46080711111114,740.1344568888888,2.4389787397418052,143.89787397418053,303.46080711111114,740.1344568888888,19421.491655111113,47368.605240888886,21.47460174560547,37.830938,0.350585,0,0
skew_rf_read_12g_move_250ms_mulshift_persistent,ops,mean_mops_s,228.28858785185184,613.1522953846154,2.68586485708397,168.586485708397,228.28858785185184,613.1522953846154,14610.469622518518,39241.746904615386,30.424903869628906,31.744341,0.330514,0,0
skew_rf_read_12g_move_500ms_mulshift_persistent,ops,mean_mops_s,230.99255466666668,636.3351419259259,2.7547863732845763,175.47863732845764,230.99255466666668,636.3351419259259,14783.523498666667,40725.44908325926,27.912818908691406,31.964438,0.33758,0,0
skew_rf_read_16g_move_500ms_mulshift_persistent,ops,mean_mops_s,325.255168,947.401019076923,2.9127931307056834,191.27931307056832,325.255168,947.401019076923,20816.330752,60633.665220923074,22.120582580566406,33.00549,0.310068,0,0
