placement,placement_label,candidate,policy,bucket_s,actual_start_ms,actual_end_ms,ops_delta,mops_s
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,130-140,130000,140000,2809921536,280.99215360000005
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,140-150,140000,150000,2809659392,280.9659392
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,150-160,150000,160000,2814640128,281.46401280000003
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,160-170,160000,170000,2805989376,280.5989376
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,170-180,170000,180000,2813067264,281.3067264
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,180-190,180000,190000,2808086528,280.8086528
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,190-200,190000,200001,2835873792,283.55902329767025
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,000-010,0,10000,2944663552,294.4663552
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,010-020,10000,20001,2463629312,246.33829737026298
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,020-030,20001,30000,2455502848,245.57484228422842
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,030-040,30000,40000,2465202176,246.5202176
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,040-050,40000,50000,2458910720,245.891072
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,050-060,50000,60000,2461532160,246.153216
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,060-070,60000,70000,2453143552,245.3143552
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,070-080,70000,80000,2452357120,245.235712
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,080-090,80000,90000,2888302592,288.8302592
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,090-100,90000,100000,2465988608,246.5988608
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,100-110,100000,110000,2515533824,251.5533824
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,110-120,110000,120000,2425356288,242.5356288
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,120-130,120000,130000,1648099328,164.8099328
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,130-140,130000,140000,1833435136,183.3435136
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,140-150,140000,150000,2077229056,207.7229056
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,150-160,150000,160000,2078015488,207.8015488
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,160-170,160000,170000,2078015488,207.8015488
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,170-180,170000,180000,2078277632,207.8277632
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,180-190,180000,190000,2076442624,207.6442624
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,190-200,190000,200000,2080112640,208.011264
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,000-010,0,10000,5626920960,562.692096
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,010-020,10000,20000,5631639552,563.1639552
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,020-030,20000,30000,5636358144,563.6358144
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,030-040,30000,40000,5633212416,563.3212416
