placement,placement_label,candidate,policy,bucket_s,actual_start_ms,actual_end_ms,hint_faults,pte_updates_pages,pte_updates_gib,promote_pages,promote_gib,demote_direct_pages,demote_direct_gib
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,010-020,10113,20160,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,020-030,20160,30205,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,030-040,30205,40254,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,040-050,40254,50298,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,050-060,50298,60343,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,060-070,60343,70392,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,070-080,70392,80439,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,080-090,80439,90483,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,090-100,90483,100528,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,100-110,100528,110569,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,110-120,110569,120615,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,120-130,120615,130664,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,130-140,130664,140706,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,140-150,140706,150755,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,150-160,150755,160808,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,160-170,160808,170848,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,170-180,170848,180895,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,180-190,180895,190939,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,190-200,190939,200989,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,000-010,48,10141,6574904,6340352,24.186523,2345684,8.948074,432452,1.649673
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,010-020,10141,20189,1651437,1593954,6.080452,574751,2.192501,461985,1.762333
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,020-030,20189,30279,2918594,2877334,10.976158,412656,1.574158,488896,1.864990
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,030-040,30279,40336,1,1,0.000004,1,0.000004,62901,0.239948
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,040-050,40336,50384,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,050-060,50384,60433,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,060-070,60433,70481,1,1,0.000004,1,0.000004,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,070-080,70481,80528,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,080-090,80528,90574,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,090-100,90574,100618,0,4,0.000015,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,100-110,100618,110663,175104,159186,0.607246,159184,0.607239,29,0.000111
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,110-120,110663,120711,826672,800472,3.053558,261952,0.999268,270826,1.033119
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,120-130,120711,130757,1565820,1540690,5.877266,251362,0.958870,280238,1.069023
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,130-140,130757,140842,1951486,1923156,7.336258,283245,1.080494,293310,1.118889
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,140-150,140842,150891,3,3,0.000011,3,0.000011,78358,0.298912
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,150-160,150891,160943,0,0,0.000000,0,0.000000,35869,0.136829
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,160-170,160943,170994,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,170-180,170994,181045,2,2,0.000008,2,0.000008,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,180-190,181045,191098,1,1,0.000004,1,0.000004,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,190-200,191098,201150,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,000-010,46,10099,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,010-020,10099,20147,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,020-030,20147,30193,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,030-040,30193,40234,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,040-050,40234,50279,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,050-060,50279,60331,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,060-070,60331,70376,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,070-080,70376,80426,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,080-090,80426,90465,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,090-100,90465,100514,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,100-110,100514,110560,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,110-120,110560,120609,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,120-130,120609,130650,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,130-140,130650,140699,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,140-150,140699,150741,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,150-160,150741,160782,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,160-170,160782,170824,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,170-180,170824,180875,0,0,0.000000,0,0.000000,0,0.000000
