placement,placement_label,candidate,policy,time_s,mops_s
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,1.0,65.273856
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,2.0,65.011712
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,3.0,63.963136
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,4.0,66.060288
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,5.0,64.487424
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,6.0,65.273856
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,7.0,64.749568
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,8.0,65.798144
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,9.0,65.273856
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,10.0,65.273856
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,11.0,64.487424
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,12.0,64.749568
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,13.0,65.273856
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,14.0,65.798144
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,15.0,64.749568
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,16.0,64.22528
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,17.0,65.798144
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,18.0,66.060288
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,19.0,63.963136
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,20.0,64.487424
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,21.0,65.798144
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,22.0,65.536
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,23.0,64.22528
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,24.0,65.798144
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,25.0,64.22528
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,26.0,65.798144
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,27.0,65.011712
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,28.0,65.011712
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,29.0,64.749568
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,30.0,65.273856
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,31.001,65.7324115884116
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,32.0,63.76475675675676
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,33.0,65.798144
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,34.0,65.536
