case,target_ops,total_ops,elapsed_s,ns_per_op,ops_per_s,fixed_ops,threads,policy,bw_shared_window,user_cpu_s,system_cpu_s,elapsed_wall_time,max_rss_kb,voluntary_context_switches,involuntary_context_switches,numa_hint_faults_delta,numa_hint_faults_local_delta,numa_pages_migrated_delta,pgpromote_success_delta,pgdemote_direct_delta,pgdemote_kswapd_delta,pgfault_delta,pgmajfault_delta,memory_psi_some_delta_us,memory_psi_full_delta_us,trace_mm_migrate_pages_events,trace_tlb_flush_events
off,43686414250,43956305920,264.169112,6.01,166394570.653,1,32,off,1,9063.59,30.6,mm:ss or m:ss): 5:05.30,33556580,1585381,1644412,0,0,0,0,62346,247982,9466890,5,731861.0,730874.0,0,0
on,43686414250,43964694528,717.758186,16.326,61252794.346,1,32,on,1,17975.11,4805.08,mm:ss or m:ss): 12:36.61,33556580,43466322,4461991,64254203,0,6120817,6120811,61974,6291043,522688437,0,6032140.0,6017286.0,0,0
