local_size_gib,workload,config,elapsed_s,off_elapsed_s,speedup_vs_off,promoted_GiB,demoted_GiB,max_process_N0_GiB,max_process_N1_GiB
48,bc,tiering_0x2,791,718,0.9077117572692794,31.801266,67.407093,46.765884,38.956593
48,bc,tpp_0x4,846,718,0.8486997635933806,166.789898,170.021164,47.34882,53.48983
48,gups,migration_off,292,292,1.0,0.0,0.0,46.496468,17.559769
48,gups,tiering_0x2,904,292,0.3230088495575221,2.134151,2.116837,46.443806,17.746746
48,gups,tpp_0x4,982,292,0.2973523421588595,5.68792,5.691219,46.492764,17.789528
48,graph500,migration_off,342,342,1.0,0.0,0.0,46.399403,64.166855
48,graph500,tiering_0x2,340,342,1.0058823529411764,35.504631,36.645958,46.522518,64.366028
48,graph500,tpp_0x4,362,342,0.9447513812154696,108.308685,108.652821,48.62912,64.23542
48,btree,migration_off,475,475,1.0,0.0,0.0,46.372051,19.517487
48,btree,tiering_0x2,640,475,0.7421875,55.723038,56.811447,46.585392,19.814598
48,btree,tpp_0x4,629,475,0.7551669316375199,57.54031,59.120167,46.482712,19.841221
48,redis_uniform,migration_off,323,323,1.0,0.0,0.0,46.374615,11.285942
48,redis_uniform,tiering_0x2,192,323,1.6822916666666667,0.476078,10.725445,46.165039,12.100937
48,redis_uniform,tpp_0x4,208,323,1.5528846153846154,6.618946,16.285622,46.268364,11.989243
48,redis_ycsb_a,migration_off,375,375,1.0,0.0,0.0,46.414211,19.571358
48,redis_ycsb_a,tiering_0x2,329,375,1.1398176291793314,1.295532,11.772995,46.398067,20.031769
48,redis_ycsb_a,tpp_0x4,401,375,0.9351620947630923,40.792774,53.549297,46.389999,19.830509
48,faster_uniform,migration_off,296,296,1.0,0.0,0.0,46.374142,12.378849
48,faster_uniform,tiering_0x2,288,296,1.0277777777777777,10.985577,14.469959,46.531425,12.701332
48,faster_uniform,tpp_0x4,290,296,1.0206896551724138,20.646755,25.315685,46.372543,12.67561
48,faster_ycsb_a,migration_off,278,278,1.0,0.0,0.0,46.378479,12.368301
48,faster_ycsb_a,tiering_0x2,274,278,1.0145985401459854,12.576382,22.628628,46.501312,13.939518
48,faster_ycsb_a,tpp_0x4,273,278,1.0183150183150182,8.953465,19.066444,46.490784,13.104279
48,silo,migration_off,610,610,1.0,0.0,0.0,46.401543,69.270168
48,silo,tiering_0x2,658,610,0.9270516717325228,44.719566,50.815475,46.347023,69.920044
48,silo,tpp_0x4,610,610,1.0,0.0,0.0,46.272732,69.416794
48,liblinear,migration_off,169,169,1.0,0.0,0.0,12.961411,0.005051
48,liblinear,tiering_0x2,178,169,0.949438202247191,0.0,0.0,12.959686,0.006775
48,liblinear,tpp_0x4,170,169,0.9941176470588236,0.0,0.0,12.959499,0.006931
