start_s,end_s,mib_s
0,10,2866.8
10,20,1908.160554960555
20,30,1833.4
30,40,1927.6
40,50,1812.8
50,60,990.3591373480671
60,70,1221.0
70,80,1845.2254976254976
80,90,1823.4141554141554
90,100,2011.0
100,110,1886.6
110,120,1882.547172668513
120,130,1196.6
130,140,1127.0
140,150,1265.3333333333333
150,160,2043.8343998565767
160,170,1978.4444444444443
170,180,2116.4469420833057
180,190,2210.6
190,200,1489.3807477807477
