start_s,end_s,mib_s
0,10,2938.0
10,20,1841.3
20,30,1841.7
30,40,2008.2
40,50,1865.4
50,60,1077.6
60,70,981.4
70,80,1784.7
80,90,1893.2
90,100,1885.0
100,110,1965.0
110,120,1898.3
120,130,1305.7
130,140,1076.4
140,150,1044.4
150,160,1838.2
160,170,1925.6
170,180,2059.9
180,190,2146.3
190,200,1462.4
200,210,1322.8
210,220,1296.8
220,230,1321.9
230,240,1343.2
240,250,1334.2
250,260,1332.4
260,270,1330.1
270,280,1334.2
280,290,1342.0
290,300,1442.9
