case,numa_balancing,placement,elapsed_s,ratio_vs_off,mops,user_cpu_s,system_cpu_s,total_cpu_s,max_rss_kb,numa_pte_updates,numa_pte_update_gib,numa_hint_faults,numa_hint_faults_local,numa_pages_migrated,pgpromote_success,pgdemote_total,pgfault
off,0,default_first_touch,229.643886,1.000,762.136,7968.19,44.52,8012.71,67110968,0,0.000,0,0,0,0,0,17805758
on,2,default_first_touch,212.715784,0.926,822.788,7409.20,52.37,7461.57,67111012,7754907,29.583,665,0,0,0,0,17773631
