case,bucket_ms,local_pages,remote_pages,total_pages,remote_percent
on,<=128,3209,2520589,2523798,7.577961
on,<=256,0,1212262,1212262,3.644574
on,<=512,0,2277296,2277296,6.846519
on,<=1024,0,4807221,4807221,14.452548
on,<=2048,0,7741015,7741015,23.272779
on,<=4096,14,12378541,12378555,37.215152
on,<=8192,32,2325160,2325192,6.990419
on,>8192,372251,16,372267,0.000048
