event,window,elapsed_s,state,pte_delta,refault_delta,local_access_pct,local_consecutive,hint_fault_delta,promote_success_delta,promote_candidate_delta,demote_kswapd_delta,migrate_success_delta,stop_reason
sample,88,440.249,off,13168,11197,85.03,21,13354,0,0,0,0,
sample,89,445.250,off,19225,16313,84.85,22,24810,0,0,0,0,
sample,90,450.251,off,26243,24012,91.50,23,43243,0,0,0,0,
sample,91,455.253,off,45714,43568,95.31,24,42572,0,0,0,0,
sample,92,460.254,off,41988,40641,96.79,25,49983,0,0,0,0,
sample,93,465.255,off,43030,42610,99.02,26,13062,0,0,0,0,
sample,94,470.256,off,9897,8295,83.81,27,13254,0,0,0,0,
sample,95,475.258,off,17960,15339,85.41,28,20067,0,0,0,0,
sample,96,480.259,off,22150,20078,90.65,29,42097,0,0,0,0,
sample,97,485.260,off,46370,43997,94.88,30,42128,0,0,0,0,
sample,98,490.262,off,40423,38984,96.44,31,52206,0,0,0,0,
sample,99,495.263,off,52296,51525,98.53,32,16973,0,0,0,0,
sample,100,500.264,off,5975,4958,82.98,33,12857,0,0,0,0,
sample,101,505.266,off,17539,14991,85.47,34,17209,0,0,0,0,
sample,102,510.267,off,19789,17480,88.33,35,38909,0,0,0,0,
sample,103,515.268,off,45158,42532,94.18,36,42872,0,0,0,0,
sample,104,520.270,off,40075,38566,96.23,37,49099,0,0,0,0,
sample,105,525.271,off,52991,51839,97.83,38,26399,0,0,0,0,
sample,106,530.272,off,11618,10777,92.76,39,12153,0,0,0,0,
sample,107,535.274,off,16355,13931,85.18,40,16277,0,0,0,0,
sample,108,540.275,off,19657,17036,86.67,41,33536,0,0,0,0,
sample,109,545.276,off,38250,35892,93.84,42,43805,0,0,0,0,
sample,110,550.278,off,43260,41526,95.99,43,44659,0,0,0,0,
sample,111,555.279,off,47060,45735,97.18,44,39212,0,0,0,0,
sample,112,560.280,off,27755,26562,95.70,45,14733,0,0,0,0,
sample,113,565.282,off,17068,14596,85.52,46,17667,0,0,0,0,
sample,114,570.283,off,19834,17616,88.82,47,39275,0,0,0,0,
sample,115,575.284,off,45733,43119,94.28,48,42691,0,0,0,0,
sample,116,580.286,off,40047,38515,96.17,49,49487,0,0,0,0,
sample,117,585.287,off,52724,51552,97.78,50,24979,0,0,0,0,
sample,118,590.288,off,11373,10456,91.94,51,12566,0,0,0,0,
sample,119,595.290,off,16319,13888,85.10,52,16147,0,0,0,0,
sample,120,600.291,off,19692,17163,87.16,53,34335,0,0,0,0,
sample,121,605.292,off,39021,36643,93.91,54,43811,0,0,0,0,
sample,122,610.294,off,42742,40970,95.85,55,44905,0,0,0,0,
sample,123,615.295,off,47812,46497,97.25,56,35929,0,0,0,0,
sample,124,620.296,off,20171,20011,99.21,57,11460,0,0,0,0,
sample,125,625.302,off,16551,14157,85.54,58,15669,0,0,0,0,
sample,126,630.303,off,19322,16664,86.24,59,28593,0,0,0,0,
sample,127,635.305,off,32415,30215,93.21,60,43800,0,0,0,0,
sample,128,640.306,off,44540,42565,95.57,61,43473,0,0,0,0,
sample,129,645.307,off,43233,42004,97.16,62,44416,0,0,0,0,
sample,130,650.309,off,33008,32853,99.53,63,11034,0,0,0,0,
sample,131,655.310,off,13320,11244,84.41,64,14426,0,0,0,0,
sample,132,660.311,off,19182,16341,85.19,65,24157,0,0,0,0,
sample,133,665.312,off,26143,24007,91.83,66,43184,0,0,0,0,
sample,134,670.314,off,46640,44406,95.21,67,42683,0,0,0,0,
sample,135,675.315,off,41501,40187,96.83,68,50220,0,0,0,0,
sample,136,680.316,off,42590,42192,99.07,69,12462,0,0,0,0,
sample,137,685.318,off,10217,8532,83.51,70,13333,0,0,0,0,
sample,138,690.319,off,18031,15438,85.62,71,20335,0,0,0,0,
sample,139,695.320,off,22688,20610,90.84,72,42414,0,0,0,0,
sample,140,700.322,off,46156,43900,95.11,73,41903,0,0,0,0,
sample,141,705.323,off,40765,39260,96.31,74,52329,0,0,0,0,
sample,142,710.324,off,51362,50615,98.55,75,15781,0,0,0,0,
sample,143,715.326,off,6620,5512,83.26,76,13468,0,0,0,0,
sample,144,720.327,off,17089,14602,85.45,77,17051,0,0,0,0,
sample,145,725.328,off,19834,17639,88.93,78,39768,0,0,0,0,
sample,146,730.330,off,45740,43075,94.17,79,42305,0,0,0,0,
sample,147,735.331,off,40048,38543,96.24,80,49942,0,0,0,0,
sample,148,740.332,off,52724,51630,97.93,81,25394,0,0,0,0,
sample,149,745.334,off,11371,10452,91.92,82,12164,0,0,0,0,
sample,150,750.335,off,16321,13907,85.21,83,16545,0,0,0,0,
sample,151,755.336,off,19695,17207,87.37,84,33841,0,0,0,0,
sample,152,760.338,off,39017,36572,93.73,85,43905,0,0,0,0,
sample,153,765.339,off,42741,41001,95.93,86,44975,0,0,0,0,
sample,154,770.340,off,47812,46539,97.34,87,35925,0,0,0,0,
sample,155,775.342,off,20170,20010,99.21,88,11459,0,0,0,0,
sample,156,780.343,off,16553,14145,85.45,89,15672,0,0,0,0,
sample,157,785.344,off,19329,16658,86.18,90,28634,0,0,0,0,
sample,158,790.346,off,32413,30133,92.97,91,43704,0,0,0,0,
sample,159,795.347,off,45094,43059,95.49,92,43474,0,0,0,0,
sample,160,800.348,off,42681,41415,97.03,93,45303,0,0,0,0,
sample,161,805.350,off,37273,36084,96.81,94,15211,0,0,0,0,
sample,162,810.351,off,16244,13834,85.16,95,16904,0,0,0,0,
sample,163,815.352,off,19676,17122,87.02,96,34222,0,0,0,0,
sample,164,820.354,off,39752,37320,93.88,97,43872,0,0,0,0,
sample,165,825.355,off,42360,40643,95.95,98,45452,0,0,0,0,
sample,166,830.356,off,48466,47244,97.48,99,34996,0,0,0,0,
sample,167,835.357,off,19245,19030,98.88,100,11068,0,0,0,0,
sample,168,840.359,off,16493,14178,85.96,101,16118,0,0,0,0,
sample,169,845.360,off,19359,16692,86.22,102,29123,0,0,0,0,
sample,170,850.361,off,33221,30961,93.20,103,43805,0,0,0,0,
sample,171,855.363,off,44916,42984,95.70,104,42949,0,0,0,0,
sample,172,860.364,off,42958,41700,97.07,105,44209,0,0,0,0,
sample,173,865.365,off,31766,31588,99.44,106,11210,0,0,0,0,
sample,174,870.367,off,13688,11653,85.13,107,14475,0,0,0,0,
sample,175,875.368,off,19232,16395,85.25,108,24541,0,0,0,0,
sample,176,880.370,off,26602,24453,91.92,109,43276,0,0,0,0,
sample,177,885.371,off,46299,44131,95.32,110,42916,0,0,0,0,
sample,178,890.372,off,41607,40306,96.87,111,49668,0,0,0,0,
sample,179,895.374,off,41952,41573,99.10,112,12064,0,0,0,0,
sample,180,900.375,off,10593,8831,83.37,113,13437,0,0,0,0,
sample,181,905.376,off,17936,15271,85.14,114,20654,0,0,0,0,
sample,182,910.377,off,22867,20723,90.62,115,42300,0,0,0,0,
sample,183,915.379,off,46384,44131,95.14,116,42290,0,0,0,0,
sample,184,920.380,off,40958,39520,96.49,117,52506,0,0,0,0,
sample,185,925.381,off,50626,49876,98.52,118,15624,0,0,0,0,
sample,186,930.382,off,7009,5814,82.95,119,12760,0,0,0,0,
sample,187,935.384,off,17148,14584,85.05,120,17677,0,0,0,0,
sample,188,940.385,off,19846,17598,88.67,121,39683,0,0,0,0,
sample,189,945.386,off,45373,42874,94.49,122,42908,0,0,0,0,
sample,190,950.388,off,40624,39105,96.26,123,49740,0,0,0,0,
sample,191,955.389,off,52655,51560,97.92,124,24599,0,0,0,0,
sample,192,960.390,off,10996,10042,91.32,125,11447,0,0,0,0,
sample,193,965.392,off,16254,13892,85.47,126,17222,0,0,0,0,
sample,194,970.393,off,19686,17127,87.00,127,34606,0,0,0,0,
sample,195,975.394,off,39755,37327,93.89,128,43581,0,0,0,0,
sample,196,980.396,off,42358,40652,95.97,129,45228,0,0,0,0,
sample,197,985.397,off,48467,47136,97.25,130,35144,0,0,0,0,
sample,198,990.398,off,19240,19007,98.79,131,11499,0,0,0,0,
sample,199,995.400,off,16493,14182,85.99,132,15796,0,0,0,0,
sample,200,1000.401,off,19359,16752,86.53,133,29243,0,0,0,0,
sample,201,1005.402,off,33217,30976,93.25,134,43765,0,0,0,0,
sample,202,1010.404,off,44254,42350,95.70,135,43331,0,0,0,0,
sample,203,1015.405,off,43620,42367,97.13,136,43616,0,0,0,0,
sample,204,1020.406,off,31766,31592,99.45,137,11283,0,0,0,0,
sample,205,1025.408,off,13695,11674,85.24,138,14390,0,0,0,0,
sample,206,1030.409,off,19225,16355,85.07,139,24701,0,0,0,0,
sample,207,1035.410,off,26596,24417,91.81,140,43125,0,0,0,0,
sample,208,1040.412,off,46600,44402,95.28,141,42822,0,0,0,0,
sample,209,1045.413,off,41306,39999,96.84,142,49538,0,0,0,0,
sample,210,1050.414,off,41952,41573,99.10,143,12350,0,0,0,0,
sample,211,1055.415,off,10522,8801,83.64,144,13390,0,0,0,0,
sample,212,1060.417,off,18168,15422,84.89,145,20776,0,0,0,0,
sample,213,1065.419,off,22259,20686,92.93,146,36389,0,0,0,0,
sample,214,1070.423,off,40349,28198,69.89,0,6028,0,0,0,66069,
sample,215,1075.426,off,17858,3733,20.90,0,0,0,0,0,177434,
exit,216,1075.628,off,0,0,0.00,0,0,0,0,0,0,
