start_s,end_s,ops_mops_s,ops_delta,promote_delta,promote_delta_gib,promote_total,demote_delta,demote_delta_gib,demote_total,over_high_delta,over_high_total,candidate_delta,candidate_total,pgmigrate_fail_delta,pgmigrate_fail_total,anon_n0_gib,anon_n1_gib,reclaimd_run_count,reclaimd_wake_count,live_sample,live_elapsed_s
430,440,1703.86,17040343040,0,0.000,2097158,0,0.000,3796170,0,1293916,0,3391305,0,1293918,15.62,48.38,5,5,46,461.228
440,450,1703.56,17035558912,0,0.000,2097158,0,0.000,3796170,0,1293916,0,3391305,0,1293918,15.62,48.38,5,5,47,471.252
450,460,1703.21,17032085504,0,0.000,2097158,0,0.000,3796170,0,1293916,0,3391305,0,1293918,15.62,48.38,5,5,48,481.276
460,470,1703.68,17036804096,0,0.000,2097158,0,0.000,3796170,0,1293916,0,3391305,0,1293918,15.62,48.38,5,5,49,491.299
470,480,1704.00,17040015360,0,0.000,2097158,0,0.000,3796170,0,1293916,0,3391305,0,1293918,15.62,48.38,5,5,50,501.324
480,490,1703.37,17033658368,0,0.000,2097158,0,0.000,3796170,0,1293916,0,3391305,0,1293918,15.62,48.38,5,5,51,511.352
490,500,1703.75,17037524992,0,0.000,2097158,0,0.000,3796170,0,1293916,0,3391305,0,1293918,15.62,48.38,5,5,52,521.375
500,510,1703.85,17038508032,0,0.000,2097158,0,0.000,3796170,0,1293916,0,3391305,0,1293918,15.62,48.38,5,5,53,531.400
510,520,1703.92,17039228928,0,0.000,2097158,0,0.000,3796170,0,1293916,0,3391305,0,1293918,15.62,48.38,5,5,54,541.424
520,530,1702.83,17028349952,0,0.000,2097158,0,0.000,3796170,0,1293916,0,3391305,0,1293918,15.62,48.38,5,5,55,551.447
530,540,1698.92,16989159424,0,0.000,2097158,0,0.000,3796170,0,1293916,0,3391305,0,1293918,15.62,48.38,5,5,56,561.475
540,550,1703.45,17034510336,0,0.000,2097158,0,0.000,3796170,0,1293916,0,3391305,0,1293918,15.62,48.38,5,5,57,571.501
550,560,1703.05,17030512640,0,0.000,2097158,0,0.000,3796170,0,1293916,0,3391305,0,1293918,15.62,48.38,5,5,58,581.527
560,570,1703.27,17032740864,0,0.000,2097158,0,0.000,3796170,0,1293916,0,3391305,0,1293918,15.62,48.38,5,5,59,591.552
570,580,1702.84,17028415488,0,0.000,2097158,0,0.000,3796170,0,1293916,0,3391305,0,1293918,15.62,48.38,5,5,60,601.575
580,590,1701.88,17018781696,0,0.000,2097158,0,0.000,3796170,0,1293916,0,3391305,0,1293918,15.62,48.38,5,5,61,611.598
590,600,1703.01,17030119424,0,0.000,2097158,0,0.000,3796170,0,1293916,0,3391305,0,1293918,15.62,48.38,5,5,61,611.598
