sample,live_elapsed_s,approx_measured_s,memory_current_gib,anon_n0_gib,anon_n1_gib,cg_promote_total_pages,cg_promote_delta_pages,cg_promote_delta_gib,cg_demote_total_pages,cg_demote_delta_pages,cg_demote_delta_gib,cg_over_high_total_pages,cg_over_high_delta_pages,vm_candidate_total_pages,vm_candidate_delta_pages,vm_pgmigrate_fail_total,vm_pgmigrate_fail_delta,reclaimd_run_count,reclaimd_wake_count
46,461.228,441.122,64.132,15.616,48.385,2097158,0,0.000,3796170,0,0.000,1293916,0,3391305,0,1293918,0,5,5
47,471.252,451.146,64.132,15.616,48.385,2097158,0,0.000,3796170,0,0.000,1293916,0,3391305,0,1293918,0,5,5
48,481.276,461.170,64.132,15.616,48.385,2097158,0,0.000,3796170,0,0.000,1293916,0,3391305,0,1293918,0,5,5
49,491.299,471.193,64.132,15.616,48.385,2097158,0,0.000,3796170,0,0.000,1293916,0,3391305,0,1293918,0,5,5
50,501.324,481.218,64.132,15.616,48.385,2097158,0,0.000,3796170,0,0.000,1293916,0,3391305,0,1293918,0,5,5
51,511.352,491.246,64.132,15.616,48.385,2097158,0,0.000,3796170,0,0.000,1293916,0,3391305,0,1293918,0,5,5
52,521.375,501.269,64.132,15.616,48.385,2097158,0,0.000,3796170,0,0.000,1293916,0,3391305,0,1293918,0,5,5
53,531.400,511.294,64.132,15.616,48.385,2097158,0,0.000,3796170,0,0.000,1293916,0,3391305,0,1293918,0,5,5
54,541.424,521.318,64.132,15.616,48.385,2097158,0,0.000,3796170,0,0.000,1293916,0,3391305,0,1293918,0,5,5
55,551.447,531.341,64.132,15.616,48.385,2097158,0,0.000,3796170,0,0.000,1293916,0,3391305,0,1293918,0,5,5
56,561.475,541.369,64.132,15.616,48.385,2097158,0,0.000,3796170,0,0.000,1293916,0,3391305,0,1293918,0,5,5
57,571.501,551.395,64.132,15.616,48.385,2097158,0,0.000,3796170,0,0.000,1293916,0,3391305,0,1293918,0,5,5
58,581.527,561.421,64.132,15.616,48.385,2097158,0,0.000,3796170,0,0.000,1293916,0,3391305,0,1293918,0,5,5
59,591.552,571.446,64.132,15.616,48.385,2097158,0,0.000,3796170,0,0.000,1293916,0,3391305,0,1293918,0,5,5
60,601.575,581.469,64.132,15.616,48.385,2097158,0,0.000,3796170,0,0.000,1293916,0,3391305,0,1293918,0,5,5
61,611.598,591.492,64.132,15.616,48.385,2097158,0,0.000,3796170,0,0.000,1293916,0,3391305,0,1293918,0,5,5
62,621.655,601.549,37.725,9.012,28.574,2097158,0,0.000,3796170,0,0.000,1293916,0,3391305,0,1293918,0,5,5
63,631.719,611.613,0.001,0.000,0.000,2097163,5,0.000,3796170,0,0.000,1293916,0,3391305,0,1293918,0,5,5
