case,period_ms,run_id,interval_start_s,interval_end_s,phase,start_offset_gib,promote_pages,promote_gib,hint_faults,demote_pages,demote_gib,anon_n0_gib,ops_mops_s
250ms,250,20260509T085828Z-move60-fastscan-p250-on5s,45.303,50.331,window1,16.0,0,0.0,0,0,0.0,14.992324829101562,1801.060352
250ms,250,20260509T085828Z-move60-fastscan-p250-on5s,50.331,55.358,window1,16.0,0,0.0,0,0,0.0,14.992324829101562,1797.718016
250ms,250,20260509T085828Z-move60-fastscan-p250-on5s,55.358,60.388,window1,16.0,0,0.0,0,0,0.0,14.992324829101562,1800.732672
250ms,250,20260509T085828Z-move60-fastscan-p250-on5s,60.388,65.415,window2,20.0,0,0.0,0,0,0.0,14.992324829101562,228.39296
250ms,250,20260509T085828Z-move60-fastscan-p250-on5s,65.415,70.444,window2,20.0,0,0.0,0,0,0.0,14.992324829101562,47.775744
250ms,250,20260509T085828Z-move60-fastscan-p250-on5s,70.444,75.474,window2,20.0,0,0.0,0,0,0.0,14.992324829101562,430.24384
250ms,250,20260509T085828Z-move60-fastscan-p250-on5s,75.474,80.51,window2,20.0,0,0.0,1048578,0,0.0,14.992324829101562,430.702592
250ms,250,20260509T085828Z-move60-fastscan-p250-on5s,80.51,85.549,window2,20.0,0,0.0,0,0,0.0,14.992324829101562,431.816704
250ms,250,20260509T085828Z-move60-fastscan-p250-on5s,85.549,90.582,window2,20.0,458030,1.7472457885742188,1092338,204948,0.7818145751953125,15.957622528076172,431.751168
250ms,250,20260509T085828Z-move60-fastscan-p250-on5s,90.582,95.614,window2,20.0,2048,0.0078125,2248,210816,0.80419921875,15.161376953125,316.407808
250ms,250,20260509T085828Z-move60-fastscan-p250-on5s,95.614,100.644,window2,20.0,0,0.0,0,0,0.0,15.161376953125,1910.04672
250ms,250,20260509T085828Z-move60-fastscan-p250-on5s,100.644,105.675,window2,20.0,0,0.0,0,0,0.0,15.161376953125,1906.573312
250ms,250,20260509T085828Z-move60-fastscan-p250-on5s,105.675,110.704,window2,20.0,0,0.0,0,0,0.0,15.161376953125,1903.624192
250ms,250,20260509T085828Z-move60-fastscan-p250-on5s,110.704,115.761,window2,20.0,381536,1.4554443359375,426047,165440,0.631103515625,15.9854736328125,1907.556352
250ms,250,20260509T085828Z-move60-fastscan-p250-on5s,115.761,120.793,window2,20.0,34324,0.1309356689453125,204527,255377,0.9741859436035156,15.142467498779297,1799.94624
250ms,250,20260509T085828Z-move60-fastscan-p250-on5s,120.793,125.817,post,44.0,0,0.0,0,0,0.0,15.142467498779297,1799.94624
