case,period_ms,phase,offset_gib,promote_pages,promote_gib,hint_faults,demote_pages,demote_gib,first_promo_gt_1000_pages_s,time_to_1gib_promo_s,time_to_2gib_promo_s,time_to_4gib_promo_s,time_to_1000_mops_s,time_to_1500_mops_s
1000ms-default,1000,window1,16.0,749988,2.8609771728515625,1840714,854382,3.2592086791992188,15.175,15.175,40.317,,25.238,50.361
1000ms-default,1000,window2,20.0,1307171,4.986461639404297,3037014,1312157,5.005481719970703,5.423000000000002,10.448999999999998,25.567999999999998,50.748000000000005,35.635999999999996,35.635999999999996
1000ms-default,1000,post,44.0,41443,0.15809249877929688,45583,0,0.0,5.8289999999999935,,,,5.8289999999999935,5.8289999999999935
250ms,250,window1,16.0,1048582,4.000022888183594,2377522,869809,3.3180580139160156,5.084,5.084,20.176,40.279,5.084,5.084
250ms,250,window2,20.0,875938,3.3414382934570312,2773738,836581,3.191303253173828,30.581999999999994,30.581999999999994,55.760999999999996,,40.644000000000005,40.644000000000005
250ms,250,post,44.0,0,0.0,0,0,0.0,,,,,5.816999999999993,5.816999999999993
