policy,label,returncode,overall_mean_mops,overall_median_mops,promote_pages,promote_gib,demote_pages,demote_gib,hint_faults,pte_updates_pages,pte_updates_gib,node0_anon_gib,node1_anon_gib
off,off,0,397.1368517917462,541.9650429570429,0,0.0,0,0.0,0,0,0.0,14.602527618408203,49.39769744873047
on,on,0,894.6259199558588,452.9501943543544,10139208,38.678009033203125,9903469,37.77873611450195,39435452,46810138,178.5665054321289,14.602535247802734,49.39769744873047
oracle_cgroup_global0,Miracle,0,847.3037651543334,267.9140544704705,4132215,15.76314926147461,3916805,14.941425323486328,14508389,20832383,79.46923446655273,14.602523803710938,49.397701263427734
