policy,label,phase_id,phase_kind,phase_name,mean_mops,median_mops,mean_mib_s,median_mib_s,sample_count,steady_sample_count
off,off,1,friendly,move60s-hotset-4g-remote,228.4406707729317,228.327424,14620.202929467629,14612.955136,200,198
off,off,2,unfriendly,stream-read-32g-split16-4k,563.3593708948468,563.3865545545546,4506.874967158775,4507.092436436436,201,199
on,on,1,friendly,move60s-hotset-4g-remote,1443.897709608135,1799.12704,92409.45341492064,115144.13056,200,198
on,on,2,unfriendly,stream-read-32g-split16-4k,344.94541414234544,348.3927736789631,2759.5633131387635,2787.142189431705,201,199
oracle_cgroup_global0,Miracle,1,friendly,move60s-hotset-4g-remote,1427.7053231498194,1795.6733058941059,91373.14068158844,114923.09157722277,200,198
oracle_cgroup_global0,Miracle,2,unfriendly,stream-read-32g-split16-4k,267.0471327267475,267.124736,2136.37706181398,2136.997888,201,199
