event,timestamp,elapsed_ms,window,window_seq,window_sec,threshold_pct,remote_threshold_pct,min_pte_updates,min_hint_faults,sample_pct,pte_delta,hit_delta,refault_delta,lost_delta,remote_refault_delta,hint_fault_delta,estimated_local_accesses,estimated_remote_accesses,access_pct,fast_pct,remote_ratio_pct,local_consecutive,remote_consecutive,consecutive,stop_reason,node_balancing
start,2026-05-20T04:40:26Z,0,0,1,10.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,,2
sample,2026-05-20T04:40:36Z,10003,1,1,10.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,,2
sample,2026-05-20T04:40:46Z,20005,2,2,10.0,80.0,20.0,1000,1000,10.00,39345,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,,2
sample,2026-05-20T04:40:56Z,30007,3,3,10.0,80.0,20.0,1000,1000,10.00,39335,0,10734,0,68749,214683,687490.00,0.00,27.29,0.00,0.00,0,1,0,,2
sample,2026-05-20T04:41:06Z,40008,4,4,10.0,80.0,20.0,1000,1000,10.00,227357,14176,137788,7956,166661,2790193,1666610.00,1123583.00,60.60,6.24,40.27,0,0,0,,2
sample,2026-05-20T04:41:16Z,50008,5,5,10.0,80.0,20.0,1000,1000,10.00,103370,39205,58297,444,181870,2879565,1818700.00,1060865.00,56.40,37.93,36.84,0,0,0,,2
sample,2026-05-20T04:41:26Z,60010,6,6,10.0,80.0,20.0,1000,1000,10.00,148246,35669,82183,23369,127750,1674162,1277500.00,396662.00,55.44,24.06,23.69,0,0,0,,2
sample,2026-05-20T04:41:36Z,70011,7,7,10.0,80.0,20.0,1000,1000,10.00,98649,98376,98642,6,113174,3288866,1131740.00,2157126.00,99.99,99.72,65.59,1,0,1,,2
sample,2026-05-20T04:41:46Z,80012,8,8,10.0,80.0,20.0,1000,1000,10.00,71615,65236,70302,1312,59678,1040290,596780.00,443510.00,98.17,91.09,42.63,2,0,2,,2
sample,2026-05-20T04:41:56Z,90012,9,9,10.0,80.0,20.0,1000,1000,10.00,150031,21144,120973,300,96275,550523,962750.00,0.00,80.63,14.09,0.00,3,1,3,,2
off,2026-05-20T04:41:56Z,90012,9,9,10.0,80.0,20.0,1000,1000,10.00,150031,21144,120973,300,96275,550523,962750.00,0.00,80.63,14.09,0.00,3,1,3,local_access,0
