case,time_s,phase,mean_mops_s,promote_gib,hint_faults,demote_gib,anon_n0_end_gib
1000ms-rerun,0-10,w1 16G,411.8020096,1.6499977111816406,1089789,0.74267578125,15.804737091064453
1000ms-rerun,10-20,w1 16G,410.8779520000001,0.0078125,2248,0.93017578125,14.882373809814453
1000ms-rerun,20-30,w1 16G,1772.9126399999998,0.0,5,0.0,14.882373809814453
1000ms-rerun,30-40,w1 16G,1985.7145856000002,1.12701416015625,325014,0.111541748046875,15.89764404296875
1000ms-rerun,40-50,w1 16G,1799.5923456,0.590057373046875,333993,1.51275634765625,14.975147247314453
1000ms-rerun,50-60,w1 16G,1800.7392255999998,0.03537750244140625,10208,0.0,15.01052474975586
1000ms-rerun,60-70,w2 20G,209.4465024,0.5907669067382812,170352,0.0,15.60129165649414
1000ms-rerun,70-80,w2 20G,319.3700352,0.0,1048578,0.0,15.60129165649414
1000ms-rerun,80-90,w2 20G,340.0335359999999,1.2483940124511719,953347,0.9439048767089844,15.905540466308594
1000ms-rerun,90-100,w2 20G,947.5129344000001,0.0078125,128159,1.5805206298828125,14.333076477050781
1000ms-rerun,100-110,w2 20G,1942.3428608000002,0.0,0,0.0,14.333076477050781
1000ms-rerun,110-120,w2 20G,1795.7810631111113,2.2744140625,827128,1.6204757690429688,14.987014770507812
250ms,0-10,w1 16G,1858.7516928,1.9461212158203125,1752965,1.334716796875,14.921566009521484
250ms,10-20,w1 16G,1846.3588352000002,1.9306907653808594,589028,1.9833412170410156,14.86911392211914
250ms,20-30,w1 16G,1802.2531072000002,1.52587890625e-05,4,0.0,14.869129180908203
250ms,30-40,w1 16G,1801.0013695999999,0.12319564819335938,35525,0.0,14.992324829101562
250ms,40-50,w1 16G,1800.6736895999998,0.0,0,0.0,14.992324829101562
250ms,50-60,w1 16G,1799.9855616,0.0,0,0.0,14.992324829101562
250ms,60-70,w2 20G,204.24294400000002,0.0,0,0.0,14.992324829101562
250ms,70-80,w2 20G,428.3301888,0.0,1048578,0.0,14.992324829101562
250ms,80-90,w2 20G,431.63975679999993,1.7472457885742188,1092338,0.7818145751953125,15.957622528076172
250ms,90-100,w2 20G,971.6498432000001,0.0078125,2248,0.80419921875,15.161376953125
250ms,100-110,w2 20G,1899.8099968,0.0,0,0.0,15.161376953125
250ms,110-120,w2 20G,1859.5643392000002,1.5863800048828125,630574,1.6052894592285156,15.142467498779297
