start_s,end_s,mean_mib_s,median_mib_s
0,30,3639.5,4864.0
30,60,5062.4,4992.0
60,90,5070.9,5122.6
90,120,5134.9,5181.4
120,150,5094.4,5282.6
150,180,5053.9,5021.5
180,210,5083.7,5213.4
210,240,5038.8,5184.0
240,270,5115.8,5216.0
270,300,5088.0,5184.0
