event,elapsed_s,window,window_seq,pte_delta,refault_delta,hit_delta,lost_delta,access_pct,fast_pct,consecutive,node_balancing
start,0.0,0,1,0,0,0,0,0.00,0.00,0,2
sample,5.1,1,2,294745,292994,292344,0,99.40,99.18,1,2
sample,10.2,2,3,112591,117025,117342,0,103.93,104.21,2,2
sample,15.3,3,4,20253,4,4,0,0.01,0.01,0,2
sample,20.4,4,5,157284,138210,101078,0,87.87,64.26,1,2
sample,25.4,5,6,157285,209716,170392,0,133.33,108.33,2,2
sample,30.5,6,7,71197,77587,77587,166,108.97,108.97,3,2
off,30.5,6,7,71197,77587,77587,166,108.97,108.97,3,0
