event,elapsed_s,window,window_seq,pte_delta,refault_delta,hit_delta,lost_delta,access_pct,fast_pct,consecutive,node_balancing
start,0.0,0,1,0,0,0,0,0.00,0.00,0,2
sample,10.6,1,2,406022,406022,406018,0,100.00,99.99,1,2
sample,20.7,2,3,199056,199056,176960,0,100.00,88.89,2,2
sample,30.9,3,4,229101,229101,229101,0,100.00,100.00,3,2
off,30.9,3,4,229101,229101,229101,0,100.00,100.00,3,0
