policy,n,mean_mops_s,sd_mops_s,on_off_ratio_mops_s,mean_MB_s,sd_MB_s,on_off_ratio_MB_s,mean_promote_gib,sd_promote_gib,mean_hint_faults_m,mean_blocked_m,mean_sampled_refault_m,mean_refault_avg_us,mean_vm_pgmigrate_success_m,mean_vm_pgmigrate_fail_m,mean_max_anon_n0_gib
off,3,49.02114700083542,5.676748227498465,,392.16917600668336,45.41398581998772,,0.0,0.0,0.0,0.0,0.0,0.0,0.028672,0.0,1.4483744303385417
on,3,16.09042938011696,4.694038873612114,0.3282344531808435,128.72343504093567,37.55231098889691,0.3282344531808435,18.72460683186849,3.5864099123918343,29.470877666666667,0.00020066666666666665,0.4908556666666667,1.3333333333333333,6.225485666666667,0.00020233333333333334,15.617149353027344
