placement,placement_label,candidate,policy,time_s,mops_s
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,79.0,65.798144
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,80.0,65.011712
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,81.0,63.700992
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,82.0,66.060288
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,83.0,65.011712
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,84.0,64.749568
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,85.0,65.273856
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,86.0,64.487424
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,87.0,65.273856
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,88.0,64.22528
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,89.0,65.798144
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,90.0,64.749568
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,91.0,64.749568
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,92.0,65.273856
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,93.0,64.487424
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,94.0,65.011712
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,95.0,65.011712
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,96.0,65.273856
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,97.0,64.487424
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,98.0,65.011712
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,99.0,65.011712
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,100.0,65.273856
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,101.0,65.273856
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,102.0,64.749568
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,103.0,64.487424
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,104.0,64.22528
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,105.0,65.273856
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,106.0,66.060288
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,107.0,64.749568
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,108.0,64.22528
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,109.0,64.749568
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,110.0,65.273856
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,111.0,66.322432
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,112.0,64.487424
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,113.0,64.22528
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,114.0,65.536
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,115.0,65.011712
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,116.0,65.536
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,117.0,64.22528
