placement,placement_label,candidate,policy,bucket_s,actual_start_ms,actual_end_ms,ops_delta,mops_s
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,130-140,130000,140001,2794979328,279.46998580141985
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,140-150,140001,150000,2834300928,283.4584386438644
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,150-160,150000,160000,2810970112,281.0970112
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,160-170,160000,170000,2795503616,279.55036160000003
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,170-180,170000,180001,2800746496,280.04664493550644
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,180-190,180001,190000,2802843648,280.3123960396039
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,190-200,190000,200000,2813329408,281.3329408
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,000-010,0,10000,2902196224,290.2196224
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,010-020,10000,20000,2339897344,233.9897344
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,020-030,20000,30000,2771648512,277.1648512
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,030-040,30000,40000,3174563840,317.456384
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,040-050,40000,50000,3152543744,315.25437439999996
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,050-060,50000,60000,2508980224,250.8980224
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,060-070,60000,70000,1710489600,171.04896
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,070-080,70000,80000,1840775168,184.0775168
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,080-090,80000,90000,1827143680,182.714368
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,090-100,90000,100003,2565341184,256.4571812456263
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,100-110,100003,110000,3222798336,322.3765465639692
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,110-120,110000,120000,3209953280,320.995328
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,120-130,120000,130000,3231973376,323.1973376
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,130-140,130000,140000,2938109952,293.8109952
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,140-150,140000,150000,1815347200,181.53472
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,150-160,150000,160000,1830027264,183.0027264
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,160-170,160000,170000,2276720640,227.672064
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,170-180,170000,180000,3251109888,325.11098880000003
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,180-190,180000,190000,3474718720,347.471872
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,190-200,190000,200000,3535011840,353.501184
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,000-010,0,10000,5641076736,564.1076736
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,010-020,10000,20000,5635571712,563.5571712000001
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,020-030,20000,30000,5637931008,563.7931007999999
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,030-040,30000,40000,5625085952,562.5085952000001
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,040-050,40000,50000,5632950272,563.2950272
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,050-060,50000,60000,5628493824,562.8493824
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,060-070,60000,70000,5629542400,562.95424
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,070-080,70000,80000,5628493824,562.8493824
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,080-090,80000,90000,5630853120,563.085312
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,090-100,90000,100000,5636882432,563.6882432000001
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,100-110,100000,110000,5658640384,565.8640384
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,110-120,110000,120000,5639766016,563.9766016
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,120-130,120000,130000,5639766016,563.9766016
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,130-140,130000,140000,5649989632,564.9989632
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,140-150,140000,150000,5647630336,564.7630336
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,150-160,150000,160000,5642125312,564.2125312000001
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,160-170,160000,170000,5639766016,563.9766016
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,170-180,170000,180001,5629804544,562.9241619838016
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,180-190,180001,190000,5633736704,563.4300134013401
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,190-200,190000,200000,5654446080,565.444608
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,000-010,0,10000,3140485120,314.048512
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,010-020,10000,20000,2309750784,230.9750784
