placement,placement_label,candidate,policy,bucket_s,actual_start_ms,actual_end_ms,hint_faults,pte_updates_pages,pte_updates_gib,promote_pages,promote_gib,demote_direct_pages,demote_direct_gib
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,000-010,46,10106,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,010-020,10106,20157,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,020-030,20157,30203,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,030-040,30203,40246,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,040-050,40246,50291,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,050-060,50291,60342,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,060-070,60342,70394,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,070-080,70394,80442,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,080-090,80442,90486,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,090-100,90486,100532,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,100-110,100532,110587,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,110-120,110587,120633,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,120-130,120633,130673,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,130-140,130673,140715,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,140-150,140715,150759,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,150-160,150759,160803,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,160-170,160803,170850,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,170-180,170850,180899,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,180-190,180899,190944,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,off,190-200,190944,200985,0,0,0.000000,0,0.000000,0,0.000000
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,000-010,47,10104,5707971,6158336,23.492188,2500527,9.538754,417607,1.593044
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,010-020,10104,20166,2040870,1632594,6.227852,592907,2.261761,578985,2.208652
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,020-030,20166,30228,2974296,2866936,10.936493,575815,2.196560,575636,2.195877
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,030-040,30228,40280,453502,135569,0.517155,167039,0.637203,231957,0.884846
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,040-050,40280,50337,731501,807083,3.078777,486095,1.854305,432924,1.651474
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,050-060,50337,60434,1567034,1532124,5.844589,528287,2.015255,516539,1.970440
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,060-070,60434,70489,1495140,1454272,5.547607,515822,1.967705,520081,1.983952
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,070-080,70489,80542,581884,403602,1.539619,250508,0.955612,324186,1.236671
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,080-090,80542,90589,20,11,0.000042,11,0.000042,70931,0.270580
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,090-100,90589,100634,91267,91158,0.347740,82977,0.316532,66811,0.254864
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,100-110,100634,110682,158643,136038,0.518944,144217,0.550144,52806,0.201439
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,110-120,110682,120724,404353,406819,1.551891,332481,1.268314,292093,1.114246
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,120-130,120724,130808,826529,906898,3.459541,416722,1.589668,415832,1.586273
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,130-140,130808,140853,1218853,1178771,4.496655,388692,1.482742,421456,1.607727
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,140-150,140853,150900,1215960,1179009,4.497562,451351,1.721767,418587,1.596783
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,150-160,150900,160937,726814,530430,2.023430,316580,1.207657,345835,1.319256
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,160-170,160937,170973,20312,18468,0.070450,18470,0.070457,11219,0.042797
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,170-180,170973,181014,24885,22617,0.086277,22615,0.086269,6010,0.022926
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,180-190,181014,191057,160251,147990,0.564537,145687,0.555752,153357,0.585011
split8,8G local / 24G remote,stream_read_32g_split8_4kstride,on,190-200,191057,201118,686476,665927,2.540310,401481,1.531528,388412,1.481674
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,000-010,54,10122,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,010-020,10122,20174,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,020-030,20174,30215,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,030-040,30215,40266,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,040-050,40266,50312,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,050-060,50312,60357,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,060-070,60357,70398,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,070-080,70398,80444,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,080-090,80444,90490,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,090-100,90490,100546,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,100-110,100546,110594,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,110-120,110594,120632,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,120-130,120632,130671,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,130-140,130671,140718,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,140-150,140718,150762,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,150-160,150762,160810,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,160-170,160810,170856,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,170-180,170856,180898,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,180-190,180898,190940,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,190-200,190940,200989,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,000-010,45,10143,4905984,4999885,19.073048,1030103,3.929531,668744,2.551056
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,010-020,10143,20240,2758767,2844185,10.849705,729739,2.783733,735239,2.804714
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,020-030,20240,30359,2159126,1888441,7.203831,568389,2.168232,557982,2.128532
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,030-040,30359,40413,1073621,992698,3.786842,285374,1.088615,285374,1.088615
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,040-050,40413,50487,1508954,1515280,5.780334,499003,1.903545,499003,1.903545
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,050-060,50487,60540,1275984,1172899,4.474255,459629,1.753345,491116,1.873459
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,060-070,60540,70587,88131,4,0.000015,3,0.000011,63797,0.243366
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,070-080,70587,80626,152652,153934,0.587212,138771,0.529369,43490,0.165901
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,080-090,80626,90688,702346,738370,2.816658,376625,1.436710,376625,1.436710
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,090-100,90688,100735,629400,564001,2.151493,297864,1.136261,313901,1.197437
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,100-110,100735,110785,897172,872333,3.327686,406869,1.552082,397437,1.516102
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,110-120,110785,120834,978959,951033,3.627903,381536,1.455444,376851,1.437572
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,120-130,120834,130924,868202,824375,3.144741,368495,1.405697,383469,1.462818
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,130-140,130924,140977,324884,234498,0.894539,180523,0.688641,230049,0.877567
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,140-150,140977,151023,360764,354858,1.353676,236839,0.903469,184453,0.703632
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,150-160,151023,161112,671595,683907,2.608898,396699,1.513287,393119,1.499630
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,160-170,161112,171170,462408,392457,1.497105,296773,1.132099,287639,1.097256
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,170-180,171170,181212,888480,922979,3.520885,332555,1.268597,333601,1.272587
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,180-190,181212,191263,983582,953237,3.636311,407282,1.553658,415248,1.584045
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,190-200,191263,201307,922438,885108,3.376419,422678,1.612389,416046,1.587090
